company,filename,filing_date,text_length,num_tables
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-04-18_424H.htm,2024-04-18,897449,409
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-07-17_424H.htm,2024-07-17,891913,426
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-10-07_424H.htm,2024-10-07,892719,429
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-01-15_424H.htm,2025-01-15,879357,413
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-04-21_424H.htm,2025-04-21,954327,457
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-07-16_424H.htm,2025-07-16,983767,466
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-10-08_424H.htm,2025-10-08,971631,467
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-01-07_424H.htm,2026-01-07,944043,462
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-04-08_424H.htm,2026-04-08,962253,459
TOYOTA,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-07-08_424H.htm,2026-07-08,966186,454
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2024-03-06_424H.htm,2024-03-06,1040621,720
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2024-07-11_424H.htm,2024-07-11,1093397,758
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2024-10-02_424H.htm,2024-10-02,1061314,751
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2025-02-27_424H.htm,2025-02-27,1144886,697
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2025-05-28_424H.htm,2025-05-28,1153279,722
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2025-09-04_424H.htm,2025-09-04,1171735,749
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2025-10-29_424H.htm,2025-10-29,1208029,1077
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2026-02-04_424H.htm,2026-02-04,1207588,847
HYUNDAI,HYUNDAI_ABS_FUNDING_LLC_2026-06-04_424H.htm,2026-06-04,1190366,814
CARMAX,CARMAX_AUTO_FUNDING_LLC_2025-03-12_424H.htm,2025-03-12,1327856,618
CARMAX,CARMAX_AUTO_FUNDING_LLC_2025-04-21_424H.htm,2025-04-21,772566,546
CARMAX,CARMAX_AUTO_FUNDING_LLC_2025-07-10_424H.htm,2025-07-10,779740,547
CARMAX,CARMAX_AUTO_FUNDING_LLC_2025-09-09_424H.htm,2025-09-09,1336069,607
CARMAX,CARMAX_AUTO_FUNDING_LLC_2025-10-08_424H.htm,2025-10-08,782402,557
CARMAX,CARMAX_AUTO_FUNDING_LLC_2026-01-14_424H.htm,2026-01-14,789729,556
CARMAX,CARMAX_AUTO_FUNDING_LLC_2026-02-11_424H.htm,2026-02-11,1152124,587
CARMAX,CARMAX_AUTO_FUNDING_LLC_2026-04-15_424H.htm,2026-04-15,819281,563
CARMAX,CARMAX_AUTO_FUNDING_LLC_2026-06-04_424H.htm,2026-06-04,1057567,566
CARMAX,CARMAX_AUTO_FUNDING_LLC_2026-07-08_424H.htm,2026-07-08,819002,569
HARLEY_DAVIDSON,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-05-08_424H.htm,2024-05-08,624148,50
HARLEY_DAVIDSON,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-09-11_424H.htm,2024-09-11,632954,50
HARLEY_DAVIDSON,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2025-05-14_424H.htm,2025-05-14,698988,51
AFS_SENSUB,AFS_SENSUB_CORP__2024-05-15_424H.htm,2024-05-15,625712,581
AFS_SENSUB,AFS_SENSUB_CORP__2024-06-26_424H.htm,2024-06-26,740699,493
AFS_SENSUB,AFS_SENSUB_CORP__2024-10-02_424H.htm,2024-10-02,706813,499
AFS_SENSUB,AFS_SENSUB_CORP__2025-01-06_424H.htm,2025-01-06,701171,496
AFS_SENSUB,AFS_SENSUB_CORP__2025-05-01_424H.htm,2025-05-01,793575,509
AFS_SENSUB,AFS_SENSUB_CORP__2025-07-03_424H.htm,2025-07-03,716280,561
AFS_SENSUB,AFS_SENSUB_CORP__2025-10-23_424H.htm,2025-10-23,649927,439
AFS_SENSUB,AFS_SENSUB_CORP__2026-01-05_424H.htm,2026-01-05,696293,489
AFS_SENSUB,AFS_SENSUB_CORP__2026-04-03_424H.htm,2026-04-03,634907,439
AFS_SENSUB,AFS_SENSUB_CORP__2026-07-02_424H.htm,2026-07-02,631446,440
ALLY,Ally_Auto_Assets_LLC_2024-02-28_424H.htm,2024-02-28,708507,351
ALLY,Ally_Auto_Assets_LLC_2024-09-19_424H.htm,2024-09-19,693903,363
ALLY,Ally_Auto_Assets_LLC_2025-10-01_424H.htm,2025-10-01,717518,375
ALLY,Ally_Auto_Assets_LLC_2026-02-26_424H.htm,2026-02-26,737213,361
AMERICAN_EXPRESS,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm,2024-04-11,658102,271
AMERICAN_EXPRESS,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-07-11_424H.htm,2024-07-11,657799,275
AMERICAN_EXPRESS,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-01-30_424H.htm,2025-01-30,660264,267
AMERICAN_EXPRESS,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm,2025-05-01,659497,277
AMERICAN_EXPRESS,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-07-10_424H.htm,2025-07-10,658037,270
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2024-05-07_424H.htm,2024-05-07,673082,473
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2024-08-06_424H.htm,2024-08-06,676734,643
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2024-10-08_424H.htm,2024-10-08,674791,408
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2025-01-29_424H.htm,2025-01-29,675488,572
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2025-04-24_424H.htm,2025-04-24,723643,423
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2025-07-30_424H.htm,2025-07-30,708845,479
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2025-10-29_424H.htm,2025-10-29,725092,469
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2026-02-03_424H.htm,2026-02-03,744569,564
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2026-04-29_424H.htm,2026-04-29,781924,475
AMERICAN_HONDA,AMERICAN_HONDA_RECEIVABLES_LLC_2026-07-29_424H.htm,2026-07-29,749595,433
BMW,BMW_AUTO_LEASING_LLC_2024-02-01_424H.htm,2024-02-01,802610,488
BMW,BMW_AUTO_LEASING_LLC_2024-09-26_424H.htm,2024-09-26,822325,495
BMW,BMW_AUTO_LEASING_LLC_2025-05-29_424H.htm,2025-05-29,834789,491
BMW,BMW_AUTO_LEASING_LLC_2025-10-02_424H.htm,2025-10-02,832531,494
BMW,BMW_AUTO_LEASING_LLC_2026-04-09_424H.htm,2026-04-09,844302,490
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2024-04-11_424H.htm,2024-04-11,817260,538
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2024-07-11_424H.htm,2024-07-11,887848,537
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2024-10-10_424H.htm,2024-10-10,916262,560
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2025-01-15_424H.htm,2025-01-15,871925,557
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2025-05-12_424H.htm,2025-05-12,911152,595
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2025-07-16_424H.htm,2025-07-16,803040,449
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2025-10-08_424H.htm,2025-10-08,932577,690
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2026-01-14_424H.htm,2026-01-14,939212,553
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2026-04-13_424H.htm,2026-04-13,899227,530
BRIDGECREST,Bridgecrest_Auto_Funding_LLC_2026-07-15_424H.htm,2026-07-15,921816,514
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-03-11_424H.htm,2024-03-11,686544,601
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-06-13_424H.htm,2024-06-13,696644,483
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-09-12_424H.htm,2024-09-12,708463,555
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-11-14_424H.htm,2024-11-14,736163,758
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-03-13_424H.htm,2025-03-13,735824,603
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-09-18_424H.htm,2025-09-18,717534,621
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-11-13_424H.htm,2025-11-13,659113,550
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-03-12_424H.htm,2026-03-12,712003,557
FORD,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-06-11_424H.htm,2026-06-11,722276,473
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-08-07_424H.htm,2024-08-07,1124879,742
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-09-11_424H.htm,2024-09-11,817379,569
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-10-10_424H.htm,2024-10-10,930508,667
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-01-10_424H.htm,2025-01-10,1126719,770
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-03-12_424H.htm,2025-03-12,1060246,754
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-05-14_424H.htm,2025-05-14,735480,479
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-07-17_424H.htm,2025-07-17,1060341,802
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-09-10_424H.htm,2025-09-10,833625,595
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-11-06_424H.htm,2025-11-06,985925,735
SANTANDER,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2026-02-11_424H.htm,2026-02-11,1076246,784
VERIZON,Verizon_ABS_II_LLC_2025-07-22_424H.htm,2025-07-22,901509,566
VERIZON,Verizon_ABS_II_LLC_2025-08-04_424H.htm,2025-08-04,903661,567
VERIZON,Verizon_ABS_II_LLC_2025-09-03_424H.htm,2025-09-03,948229,623
VERIZON,Verizon_ABS_II_LLC_2025-11-13_424H.htm,2025-11-13,917779,585
VERIZON,Verizon_ABS_II_LLC_2026-03-02_424H.htm,2026-03-02,909151,579
VERIZON,Verizon_ABS_II_LLC_2026-06-22_424H.htm,2026-06-22,915983,585
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-17_424H.htm,2025-09-17,3279814,2390
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-30_424H.htm,2025-09-30,3372205,2584
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-11-13_424H.htm,2025-11-13,3125945,2398
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-01_424H.htm,2025-12-01,4127148,2953
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-08_424H.htm,2025-12-08,3568030,2750
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-02-11_424H.htm,2026-02-11,3147429,2468
WELLS_FARGO,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-03-23_424H.htm,2026-03-23,3293033,2569
