company,deal_name,asset_type,filing_date,cutoff_date,issuing_entity_cik,registration_number,depositor,sponsor_servicer,aggregate_principal_amount,total_principal_balance,number_of_receivables,avg_principal_balance,wa_apr,wa_fico,wa_original_term,wa_remaining_term,aggregate_securitization_value,aggregate_residual_value,total_trust_receivables,number_of_accounts,number_of_loans,number_of_properties,wa_ltv,wa_dscr,first_payment_date,credit_enhancement_types,filename
TOYOTA,Toyota Auto Receivables 2024-B Owner Trust,auto_loans,2024-04-18,"February 29, 2024",,333-259868,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1350000000,$1447406675.12.,54194,$250.91,0.00,620,12,4,,,,,,,,,"May 15, 2024","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-04-18_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2024-C Owner Trust,auto_loans,2024-07-17,"May 31, 2024",,333-259868,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1350000000,$1438463084.47.,53023,$269.76,0.00,620,12,4,,,,,,,,,"August 15, 2024","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-07-17_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2024-D Owner Trust,auto_loans,2024-10-07,"August 31, 2024",,333-259868,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1350000000,$1421062913.29.,53545,$251.75,0.00,620,12,4,,,,,,,,,"November 15, 2024","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-10-07_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2025-A Owner Trust,auto_loans,2025-01-15,"November 30, 2024",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1500000000,$1560796878.37.,54550,$253.19,0.00,620,12,4,,,,,,,,,"February 18, 2025","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-01-15_424H_clean.txt
TOYOTA,Toyota Auto Finance Receivables LLC,auto_loans,2025-04-21,"February 28, 2025",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1250000000,$1308465017.22.,46084,$252.55,0.00,620,18,4,,,,,,,,,"May 15, 2025","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-04-21_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2025-C Owner Trust,auto_loans,2025-07-16,"May 31, 2025",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1300000000,$1369417870.87.,47067,$274.27,0.00,620,12,4,,,,,,,,,"August 15, 2025","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-07-16_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2025-D Owner Trust,auto_loans,2025-10-08,"August 31, 2025",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1300000000,$1367574996.41.,46421,$250.01,0.00,620,12,4,,,,,,,,,"November 17, 2025","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-10-08_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2026-A Owner Trust,auto_loans,2026-01-07,"November 30, 2025",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1300000000,$1365228459.75.,45059,$264.76,0.00,620,12,4,,,,,,,,,"February 17, 2026","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-01-07_424H_clean.txt
TOYOTA,Toyota Auto Receivables 2026-B Owner Trust,auto_loans,2026-04-08,"February 28, 2026",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1300000000,$1369227358.77.,45323,$252.41,0.00,620,18,4,,,,,,,,,"May 15, 2026","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-04-08_424H_clean.txt
TOYOTA,Toyota Auto Finance Receivables LLC,auto_loans,2026-07-08,"May 31, 2026",,333-281727,Toyota Auto Finance Receivables LLC,TMCC was incorp,$1300000000,$1384356047.48.,46601,$255.54,0.00,620,12,4,,,,,,,,,"August 17, 2026","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-07-08_424H_clean.txt
HYUNDAI,Hyundai Auto Receivables Trust 2024-A,auto_loans,2024-03-06,,,333-261719,"ABS Funding, LLC",HCA was incorp,$1245070000,$1370393333.99,51568,$26574.49,5.70,766,66.59,57.87,,,,,,,,,"April 15, 2024",,HYUNDAI_ABS_FUNDING_LLC_2024-03-06_424H_clean.txt
HYUNDAI,Auto Receivables Trust 2024-B,auto_loans,2024-07-11,,,333-261719,"Funding, LLC",HCA was incorp,$1300000000,$1425156072.21,58430,$23465.10,3.34,79,56,53.64,,,,,,,,,"August 15, 2024",,HYUNDAI_ABS_FUNDING_LLC_2024-07-11_424H_clean.txt
HYUNDAI,Auto Receivables Trust 2024-C,auto_loans,2024-10-02,,,333-261719,"Funding, LLC",HCA was incorp,$1301250000,$1238223758.71,54503,$23465.10,3.54,79,56,110,,,,,,,,,"November 15, 2024",,HYUNDAI_ABS_FUNDING_LLC_2024-10-02_424H_clean.txt
HYUNDAI,Auto Receivables Trust 2025-A,auto_loans,2025-02-27,,,333-261719,"Funding, LLC",HCA was incorp,$1501510000,$1638428161.37,63727,$25710.11,5.57,769,67.92,53.80,,,,,,,,,"April 15, 2025",,HYUNDAI_ABS_FUNDING_LLC_2025-02-27_424H_clean.txt
HYUNDAI,Auto Receivables Trust 2025-B,auto_loans,2025-05-28,,,333-284087,"ABS Funding, LLC",HCA was incorp,$1500000000,$1623126550.80,59096,$27465.93,5.95,770,67.47,55.06,,,,,,,,,"July 15, 2025",,HYUNDAI_ABS_FUNDING_LLC_2025-05-28_424H_clean.txt
HYUNDAI,Hyundai Auto Receivables Trust 2025-C,auto_loans,2025-09-04,,,333-284087,"ABS Funding, LLC",HCA was incorp,$1502920000,$1624220265.62,57760,$28120.16,5.61,772,67.92,55.53,,,,,,,,,"October 15, 2025",,HYUNDAI_ABS_FUNDING_LLC_2025-09-04_424H_clean.txt
HYUNDAI,Hyundai Auto Receivables Trust 2025-D,auto_loans,2025-10-29,,,333-284087,"ABS Funding, LLC",HCA was incorp,$1500000000,$1630971479.93,55421,$29428.76,5.37,87,67.86,58.53,,,,,,,,,"December 15, 2025",,HYUNDAI_ABS_FUNDING_LLC_2025-10-29_424H_clean.txt
HYUNDAI,,auto_loans,2026-02-04,,,333-284087,"ABS Funding, LLC",HCA was incorp,$1595110000,$1734904585.03,57396,$30226.92,5.38,775,67.18,58.93,,,,,,,,,"March 16, 2026",,HYUNDAI_ABS_FUNDING_LLC_2026-02-04_424H_clean.txt
HYUNDAI,Hyundai Auto Receivables Trust 2026-B,auto_loans,2026-06-04,,,333-284087,financial statements prepared in accordance with generally accepted accounting princ,HCA was incorp,$1600000000,$1761695622.06,57528,$30623.27,5.18,774,65.80,57.20,,,,,,,,,"July 15, 2026",,HYUNDAI_ABS_FUNDING_LLC_2026-06-04_424H_clean.txt
CARMAX,CarMax Select Receivables Trust 2025-A,auto_loans_subprime,2025-03-12,"February 28, 2025",,333-283219,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$625000000,$645998293.83,7,$6440.43,12.03,602.9,71.57,15.49,,,,,,,,,"April 15, 2025",,CARMAX_AUTO_FUNDING_LLC_2025-03-12_424H_clean.txt
CARMAX,CarMax Auto Owner Trust 2025-2,auto_loans_subprime,2025-04-21,,,333-283219,CarMax Auto Funding LLC,CarMax Auto Funding LLC,$1150000000,$1158690862.93,,,,2,2020,,,,,,,,,,"May 15, 2025",,CARMAX_AUTO_FUNDING_LLC_2025-04-21_424H_clean.txt
CARMAX,CarMax Auto Owner Trust 2025-3,auto_loans_subprime,2025-07-10,"June 30, 2025",,333-283219,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$1100000000,$1105533858.65,,,,2,2020,,,,,,,,,,"August 15, 2025",,CARMAX_AUTO_FUNDING_LLC_2025-07-10_424H_clean.txt
CARMAX,CarMax Select Receivables Trust 2025-B,auto_loans_subprime,2025-09-09,,,333-288943,CarMax Auto Funding LLC,CarMax Auto Funding LLC,$583980000,$641026649.23,,,,3,2020,,,,,,,,,,"October 15, 2025",,CARMAX_AUTO_FUNDING_LLC_2025-09-09_424H_clean.txt
CARMAX,CarMax Auto Owner Trust 2025-4,auto_loans_subprime,2025-10-08,"September 30, 2025",,333-288943,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$1000000000,$1005029265.43,,,,2,,,,,,,,,,,"November 17, 2025",,CARMAX_AUTO_FUNDING_LLC_2025-10-08_424H_clean.txt
CARMAX,CarMax Auto Owner Trust 2026-1,auto_loans_subprime,2026-01-14,"December 31, 2025",,333-288943,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$1000000000,$1005025872.07,,,,2,2020,,,,,,,,,,"February 17, 2026",,CARMAX_AUTO_FUNDING_LLC_2026-01-14_424H_clean.txt
CARMAX,Select Receivables Trust 2026-A,auto_loans_subprime,2026-02-11,"January 31, 2026",,333-288943,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$750000000,$769231898.52.,4174,$23250.86,16.90,553.77,2020,,,,,,,,,,"March 16, 2026",,CARMAX_AUTO_FUNDING_LLC_2026-02-11_424H_clean.txt
CARMAX,CarMax Auto Owner Trust 2026-2,auto_loans_subprime,2026-04-15,"March 31, 2026",,333-288943,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$1000000000,$1005025726.60,,,,2,2020,,,,,,,,,,"May 15, 2026",,CARMAX_AUTO_FUNDING_LLC_2026-04-15_424H_clean.txt
CARMAX,CarMax Select Receivables Trust 2026-B,auto_loans_subprime,2026-06-04,"May 31, 2026",,333-288943,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$546371000,$621762247.08,4174,$23250.86,16.90,553.77,66.07,,,,,,,,,,"July 15, 2026","reserve account, overcollateralization, subordination",CARMAX_AUTO_FUNDING_LLC_2026-06-04_424H_clean.txt
CARMAX,CarMax Auto Owner Trust 2026-3,auto_loans_subprime,2026-07-08,"June 30, 2026",,333-288943,CarMax Auto Funding LLC,"CarMax Business Services, LLC",$1000000000,$1002507262.68,,,,2,2021,,,,,,,,,,"August 17, 2026",,CARMAX_AUTO_FUNDING_LLC_2026-07-08_424H_clean.txt
HARLEY_DAVIDSON,Harley-Davidson Motorcycle Trust 2024-A,motorcycle_loans,2024-05-08,"April 30, 2024",0002017611,,"Davidson Financial Services, Inc.",,$550000000,$6.8,,,9.429,758,70,60,,,,,,,,,"June 17, 2024","reserve account, overcollateralization, excess interest/spread",HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-05-08_424H_clean.txt
HARLEY_DAVIDSON,Harley-Davidson Motorcycle Trust 2024-B,motorcycle_loans,2024-09-11,"August 31, 2024",0002034427,,"Davidson Financial Services, Inc.",,$600000000,$7.0,,,9.354,758,70,61,,,,,,,,,"October 15, 2024","reserve account, overcollateralization, excess interest/spread",HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-09-11_424H_clean.txt
HARLEY_DAVIDSON,Harley-Davidson Motorcycle Trust 2025-A,motorcycle_loans,2025-05-14,"April 30, 2025",0002066712,,"Davidson Financial Services, Inc.",,$500000000,$6.7,,,9.862,752,70,61,,,,,,,,,"June 16, 2025","reserve account, overcollateralization, excess interest/spread, yield supplement OC",HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2025-05-14_424H_clean.txt
AFS_SENSUB,AmeriCredit Automobile Receivables Trust 2024-1,auto_loans_subprime,2024-05-15,"April 14, 2024",0002020251,333-261851,AFS SenSub Corp.,"AmeriCredit Financial Services, Inc.",$1100310000,$1316861669.06,,,16.18,588.,75,65,,,,,,,,,"June 18, 2024","reserve account, overcollateralization, subordination, excess interest/spread",AFS_SENSUB_CORP__2024-05-15_424H_clean.txt
AFS_SENSUB,GM Financial Consumer Automobile Receivables Trust 2024-3,auto_loans_subprime,2024-06-26,"June 2, 2024",0002026197,333-275606,AFS SenSub Corp.,"The sponsor and servicer for the notes will be AmeriCredit Financial Services, Inc.",$1015840000,$1092441084.96,,,6.54,,69,58,,,,,,,,,"August 16, 2024","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",AFS_SENSUB_CORP__2024-06-26_424H_clean.txt
AFS_SENSUB,GM Financial Consumer Automobile Receivables Trust 2024-4,auto_loans_subprime,2024-10-02,"September 9, 2024",0002036780,333-275606,AFS SenSub Corp.,"a result of such a repurchase, the affected automobile loan contracts would be repurchased from the issuing entity, the outstanding princ",$1000200000,$1077461507.49,,,6.71,,69,58,,,,,,,,,"November 18, 2024","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",AFS_SENSUB_CORP__2024-10-02_424H_clean.txt
AFS_SENSUB,GM Financial Consumer Automobile Receivables Trust 2025-1,auto_loans_subprime,2025-01-06,"December 3, 2024",0002047316,333-275606,AFS SenSub Corp.,"a result of such a repurchase, the affected automobile loan contracts would be repurchased from the issuing entity, the outstanding princ",$1291170000,$1370319484.66,,,7.05,,69,58,,,,,,,,,"February 18, 2025","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",AFS_SENSUB_CORP__2025-01-06_424H_clean.txt
