0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,Principal Amount of Class A-1 Notes,,Principal Amount of Class A-2-A Notes(1),,Principal Amount of Class A-2-B Notes(1),,Principal Amount of Class A-3 Notes,,Principal Amount of Class A-4 Notes,,Principal Amount of Class B Notes,,Principal Amount of Class C Notes
Credit Agricole Securities (USA) Inc.,,$,,$,,$,,$,,$,,$,,$
Deutsche Bank Securities Inc.,,$,,$,,$,,$,,$,,$,,$
J.P. Morgan Securities LLC,,$,,$,,$,,$,,$,,$,,$
Morgan Stanley & Co. LLC,,$,,$,,$,,$,,$,,$,,$
TD Securities (USA) LLC,,$,,$,,$,,$,,$,,$,,$
"Academy Securities, Inc.",,$,,$,,$,,$,,$,,$,,$
BMO Capital Markets Corp.,,$,,$,,$,,$,,$,,$,,$
"RBC Capital Markets, LLC",,$,,$,,$,,$,,$,,$,,$
"SMBC Nikko Securities America, Inc.",,$,,$,,$,,$,,$,,$,,$
,,,,,,,,,,,,,,
Total,,"$243,310,000(2)",,$(2),,$(2),,"$461,720,000(2)",,"$83,270,000(2)",,"$21,240,000(2)",,"$19,910,000 (2)"
