0,1,2
,,
Series 2022-2,Series 2022-2,Series 2022-2
Initial Invested Amount,,"$3,142,859,000"
Class A Initial Invested Amount,,"$2,750,000,000"
Class A Certificate Rate,,3.39% per year
Class B Initial Invested Amount,,"$117,858,000"
Class B Certificate Rate,,3.61% per year
Controlled Accumulation Amount (subject to adjustment),,"$238,988,166.67"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"May 1, 2024"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$275,001,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,May 2025 Distribution Date
Series Issuance Date,,"May 24, 2022"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
