0,1,2,3,4
,,,,
Issuing Entity:,,American Express Credit Account Master Trust,American Express Credit Account Master Trust,American Express Credit Account Master Trust
,,,,
Depositor and Transferor:,,American Express Receivables Financing Corporation III LLC,American Express Receivables Financing Corporation III LLC,American Express Receivables Financing Corporation III LLC
,,,,
Sponsor and Originator:,,American Express National Bank,American Express National Bank,American Express National Bank
,,,,
Servicer:,,"American Express Travel Related Services Company, Inc.","American Express Travel Related Services Company, Inc.","American Express Travel Related Services Company, Inc."
,,,,
Trustee:,,The Bank of New York Mellon,The Bank of New York Mellon,The Bank of New York Mellon
,,,,
Asset Representations Reviewer:,,Clayton Fixed Income Services LLC,Clayton Fixed Income Services LLC,Clayton Fixed Income Services LLC
,,,,
Series Issuance Date:,,"July [], 2024","July [], 2024","July [], 2024"
,,,,
Servicing Fee Rate:,,2.0% per year,2.0% per year,2.0% per year
,,,,
Clearance and Settlement:,,DTC/Clearstream/Euroclear,DTC/Clearstream/Euroclear,DTC/Clearstream/Euroclear
,,,,
Primary Trust Assets:,,Receivables generated in a portfolio of designated consumer American Express® credit card accounts and Pay Over Time revolving credit features associated with certain American Express credit card accounts*,Receivables generated in a portfolio of designated consumer American Express® credit card accounts and Pay Over Time revolving credit features associated with certain American Express credit card accounts*,Receivables generated in a portfolio of designated consumer American Express® credit card accounts and Pay Over Time revolving credit features associated with certain American Express credit card accounts*
,,,,
Group:,,Group I,Group I,Group I
,,,,
Principal Sharing Series:,,Yes,Yes,Yes
,,,,
Excess Allocation Series:,,Yes,Yes,Yes
