0,1,2
Number of receivables,,60618
Average principal balance,,"$23,153.42"
Range of principal balances,,"$1,000.37 to $82,697.02"
Weighted average annual percentage rate(1),,4.88%
Range of annual percentage rates,,0.69% to 24.67%
Weighted average original term to maturity(1),,61.23 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,49.41 months
Range of remaining terms to maturity,,7 months to 69 months
Percentage of aggregate principal balance of receivables for new/used vehicles,,86.17%/13.83%
