0,1,2,3,4,5,6,7,8,9,10,11,12
Payment Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"March 21, 2025",,79.42%,,74.73%,,71.55%,,69.19%,,66.48%,,60.74%
"April 21, 2025",,69.22%,,62.35%,,57.69%,,54.25%,,50.34%,,43.18%
"May 21, 2025",,59.08%,,50.14%,,44.08%,,39.64%,,34.60%,,26.08%
"June 21, 2025",,48.99%,,38.09%,,30.73%,,25.34%,,19.29%,,9.42%
"July 21, 2025",,38.97%,,26.21%,,17.63%,,11.36%,,4.38%,,0.00%
"August 21, 2025",,29.01%,,14.51%,,4.78%,,0.00%,,0.00%,,0.00%
"September 21, 2025",,19.10%,,2.98%,,0.00%,,0.00%,,0.00%,,0.00%
"October 21, 2025",,9.26%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"November 21, 2025",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,0.41,,0.34,,0.30,,0.28,,0.26,,0.23
Weighted Average Life To Call (years)(1)(3),,0.41,,0.34,,0.30,,0.28,,0.26,,0.23
