0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Payment Date,,,0.50%,,,,1.00%,,,,1.30%,,,,1.50%,,,,1.70%,,,,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
"March 21, 2026",,,79.41,%,,,74.70,%,,,71.56,%,,,69.31,%,,,66.89,%,,,62.83,%
"April 21, 2026",,,69.20,%,,,62.30,%,,,57.69,%,,,54.39,%,,,50.85,%,,,44.93,%
"May 21, 2026",,,59.04,%,,,50.05,%,,,44.05,%,,,39.75,%,,,35.16,%,,,27.50,%
"June 21, 2026",,,48.95,%,,,37.96,%,,,30.65,%,,,25.41,%,,,19.82,%,,,10.53,%
"July 21, 2026",,,38.91,%,,,26.04,%,,,17.48,%,,,11.35,%,,,4.82,%,,,0.00,%
"August 21, 2026",,,28.92,%,,,14.28,%,,,4.55,%,,,0.00,%,,,0.00,%,,,0.00,%
"September 21, 2026",,,19.00,%,,,2.68,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"October 21, 2026",,,9.14,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"November 21, 2026",,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,,0.39,,,,0.32,,,,0.28,,,,0.26,,,,0.24,,,,0.21,
Weighted Average Life To Call (years)(1)(3),,,0.39,,,,0.32,,,,0.28,,,,0.26,,,,0.24,,,,0.21,
