0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Underwriters,,,Class A-1 Notes(1),,,,Class A-2a  Notes(1),,,,Class A-2b  Notes(1),,,,Class A-3  Notes(1),,,,Class A-4  Notes(1),
MUFG Securities Americas Inc.,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
J.P. Morgan Securities LLC,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
TD Securities (USA) LLC,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"Wells Fargo Securities, LLC",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
Barclays Capital Inc.,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"BNY Mellon Capital Markets, LLC",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
ING Financial Markets LLC,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
"U.S. Bancorp Investments, Inc.",,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
Total,,$,●,,,$,●,,,$,●,,,$,●,,,$,●,
