0,1,2,3,4
The Issuing Entity’s  Property,,The property  of the issuing entity:,The property  of the issuing entity:,The property  of the issuing entity:
,,●,,will primarily  be a pool of receivables secured by new and used automobiles and amounts due or collected under the receivables on or after the cutoff  date; and
,,●,,will include assets related  to the receivables including:
,,,●,security interests in  the automobiles and any related property;
,,,●,proceeds from claims on  related insurance policies;
,,,●,proceeds from payments  collected by AHFC from dealers obligated to repurchase receivables that do not meet specified representations made by the dealers;
,,,●,the rights of the depositor  in the transaction agreements;
,,,●,amounts deposited in specified  bank accounts;
,,,●,"proceeds from the realization  upon any property, including liquidation proceeds; and"
,,,●,all proceeds of the foregoing.
Receivables,,"Purchasers  of Honda and Acura automobiles and light-duty trucks often finance their purchases by entering  into retail installment sale contracts with Honda and Acura dealers who then sell the contracts  to American Honda Finance Corporation. These contracts are referred to as receivables,  and the underlying automobiles (including light-duty trucks) are referred to as the financed  vehicles. The purchasers of the financed vehicles are referred to as the obligors.  The terms of the contracts must meet specified AHFC requirements.  The trust’s main source of  funds for making payments on the notes will be collections on its receivables.","Purchasers  of Honda and Acura automobiles and light-duty trucks often finance their purchases by entering  into retail installment sale contracts with Honda and Acura dealers who then sell the contracts  to American Honda Finance Corporation. These contracts are referred to as receivables,  and the underlying automobiles (including light-duty trucks) are referred to as the financed  vehicles. The purchasers of the financed vehicles are referred to as the obligors.  The terms of the contracts must meet specified AHFC requirements.  The trust’s main source of  funds for making payments on the notes will be collections on its receivables.","Purchasers  of Honda and Acura automobiles and light-duty trucks often finance their purchases by entering  into retail installment sale contracts with Honda and Acura dealers who then sell the contracts  to American Honda Finance Corporation. These contracts are referred to as receivables,  and the underlying automobiles (including light-duty trucks) are referred to as the financed  vehicles. The purchasers of the financed vehicles are referred to as the obligors.  The terms of the contracts must meet specified AHFC requirements.  The trust’s main source of  funds for making payments on the notes will be collections on its receivables."
,,"If the aggregate  initial principal amount of the notes is $1,578,950,000, the initial pool balance will be $1,619,439,636.04. As of the  cutoff date, the receivables in such pool will have the following characteristics:","If the aggregate  initial principal amount of the notes is $1,578,950,000, the initial pool balance will be $1,619,439,636.04. As of the  cutoff date, the receivables in such pool will have the following characteristics:","If the aggregate  initial principal amount of the notes is $1,578,950,000, the initial pool balance will be $1,619,439,636.04. As of the  cutoff date, the receivables in such pool will have the following characteristics:"
