0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:,The issuing entity is issuing the following classes of notes:
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,,,Class A-1 Notes(1),,Class A-2 Notes(1) (2),,Class A-3 Notes(1) (2),,Class A-4 Notes(1)
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Initial Principal Balance,,"$265,960,000",,"$340,000,000",,"$390,000,000",,"$63,200,000"
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Offered Amount,,"$252,660,000",,"$323,000,000",,"$370,500,000",,"$60,040,000"
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Interest Rate,,%,,%,,%,,%
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Initial Distribution Date,,"April 15, 2024",,"April 15, 2024",,"April 15, 2024",,"April 15, 2024"
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Final Scheduled Distribution Date,,"March 17, 2025",,"January 15, 2027",,"December 15, 2028",,"October 15, 2029"
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Distribution Frequency,,Monthly,,Monthly,,Monthly,,Monthly
"You should consider carefully the risk factors beginning on page 9 in this prospectus. The notes represent obligations of the issuing entity only. The notes do not represent obligations of or interests in, and are not guaranteed by, Ally Auto Assets LLC, Ally Bank or any of their affiliates. Neither the notes nor the receivables are insured or guaranteed by any governmental entity.",,,,Price to Public,,%,,%,,%,,%
