0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
AART 2019-1,AART 2019-1,AART 2019-1,AART 2019-1,,,AART 2024-1,AART 2024-1,AART 2024-1,AART 2024-1,
Vehicle Make,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,,,Vehicle Make,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,
Chevrolet,,,26.64,%,,Chevrolet,,,17.31,%
Ford,,,9.65,%,,Ford,,,12.63,%
Jeep,,,9.27,%,,Jeep,,,9.28,%
GMC,,,6.95,%,,Ram,,,7.99,%
Ram,,,6.29,%,,Toyota-Scion,,,6.63,%
Nissan,,,5.15,%,,GMC,,,6.13,%
Toyota,,,5.13,%,,Honda,,,4.06,%
Hyundai,,,4.77,%,,Nissan,,,3.82,%
Kia,,,4.26,%,,Kia,,,3.15,%
Honda,,,4.19,%,,Dodge,,,2.83,%
