0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Date,,0.00%,0.00%,,,0.50%,0.50%,,,0.90%,0.90%,,,1.10%,1.10%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.80%,1.80%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
10/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
11/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
12/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,89.93,%
01/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,99.04,%,,,77.83,%
02/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,96.95,%,,,87.22,%,,,66.21,%
03/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,94.17,%,,,86.60,%,,,75.85,%,,,55.40,%
04/15/25,,,100.00,%,,,100.00,%,,,91.60,%,,,84.80,%,,,76.53,%,,,64.95,%,,,45.31,%
05/15/25,,,100.00,%,,,95.30,%,,,82.98,%,,,75.62,%,,,66.75,%,,,54.52,%,,,35.48,%
06/15/25,,,100.00,%,,,87.72,%,,,74.48,%,,,66.63,%,,,57.26,%,,,44.55,%,,,25.92,%
07/15/25,,,95.09,%,,,80.18,%,,,66.11,%,,,57.84,%,,,48.07,%,,,35.12,%,,,16.70,%
08/15/25,,,88.47,%,,,72.67,%,,,57.86,%,,,49.24,%,,,39.17,%,,,26.35,%,,,7.96,%
09/15/25,,,81.80,%,,,65.19,%,,,49.75,%,,,40.84,%,,,30.57,%,,,18.11,%,,,0.00,%
10/15/25,,,75.08,%,,,57.75,%,,,41.76,%,,,32.64,%,,,22.27,%,,,10.19,%,,,0.00,%
11/15/25,,,68.32,%,,,50.34,%,,,33.91,%,,,24.65,%,,,14.28,%,,,2.51,%,,,0.00,%
12/15/25,,,61.50,%,,,42.97,%,,,26.19,%,,,16.86,%,,,6.60,%,,,0.00,%,,,0.00,%
01/15/26,,,55.70,%,,,36.57,%,,,19.35,%,,,9.83,%,,,0.00,%,,,0.00,%,,,0.00,%
02/15/26,,,50.83,%,,,31.05,%,,,13.28,%,,,3.48,%,,,0.00,%,,,0.00,%,,,0.00,%
03/15/26,,,45.91,%,,,25.55,%,,,7.29,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
04/15/26,,,40.96,%,,,20.07,%,,,1.37,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
05/15/26,,,35.98,%,,,14.61,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
06/15/26,,,30.95,%,,,9.17,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
07/15/26,,,25.88,%,,,3.75,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
08/15/26,,,20.77,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
09/15/26,,,15.63,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
10/15/26,,,10.44,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
11/15/26,,,5.21,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
12/15/26,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life (Years) to Call,,,1.47,,,,1.21,,,,1.02,,,,0.93,,,,0.84,,,,0.73,,,,0.57,
Weighted Average Life (Years) to Maturity,,,1.47,,,,1.21,,,,1.02,,,,0.93,,,,0.84,,,,0.73,,,,0.57,
