0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2023-1,AART 2023-1,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,8.68,%,,,9.89,%
Aggregate Amount Financed,,$,1121998940.08,,,$,1114879158.52,
Number of Contracts in Pool,,,50424,,,,61802,
Average Amount Financed,,$,22251.29,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,69.39,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,59.78,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,78.55,%,,,79.46,%
Percentage of New Vehicles,,,41.58,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,98.32,%,,,99.96,%
Weighted Average FICO Score,,,730.00,,,,734.76,
Weighted Average Loan-to-Value,,,95.54,,,,94.29,
Cutoff Date,,,"June 1, 2023",,,,"August 1, 2024",
