0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,,,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,
,,,,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,,,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,
Month,,Prepayment Speeds,,$,$,,,%,%,,,$,$,,,%,%,
Sep-22,,1.39,,,—,,,,0.000000,%,,,—,,,,0.000000,%
Oct-22,,1.32,,,11165.28,,,,0.001003,%,,,11165.28,,,,0.001003,%
Nov-22,,1.21,,,25183.57,,,,0.002263,%,,,36348.85,,,,0.003266,%
Dec-22,,1.18,,,630324.81,,,,0.056639,%,,,666673.66,,,,0.059905,%
Jan-23,,1.18,,,236013.12,,,,0.021207,%,,,902686.78,,,,0.081112,%
Feb-23,,1.02,,,386367.10,,,,0.034718,%,,,1289053.88,,,,0.115830,%
Mar-23,,1.30,,,449997.09,,,,0.040435,%,,,1739050.97,,,,0.156265,%
Apr-23,,1.10,,,380443.57,,,,0.034185,%,,,2119494.54,,,,0.190450,%
May-23,,1.30,,,242894.18,,,,0.021826,%,,,2362388.72,,,,0.212276,%
Jun-23,,1.24,,,221536.38,,,,0.019906,%,,,2583925.10,,,,0.232182,%
Jul-23,,1.04,,,124684.71,,,,0.011204,%,,,2708609.81,,,,0.243386,%
Aug-23,,1.16,,,359797.54,,,,0.032330,%,,,3068407.35,,,,0.275716,%
Sep-23,,1.11,,,431059.22,,,,0.038733,%,,,3499466.57,,,,0.314449,%
Oct-23,,1.17,,,495880.85,,,,0.044558,%,,,3995347.42,,,,0.359007,%
Nov-23,,1.01,,,542581.33,,,,0.048754,%,,,4537928.75,,,,0.407762,%
Dec-23,,1.00,,,421706.81,,,,0.037893,%,,,4959635.56,,,,0.445655,%
Jan-24,,1.13,,,504172.75,,,,0.045303,%,,,5463808.31,,,,0.490958,%
Feb-24,,1.02,,,151195.70,,,,0.013586,%,,,5615004.01,,,,0.504544,%
Mar-24,,1.06,,,151630.46,,,,0.013625,%,,,5766634.47,,,,0.518169,%
Apr-24,,1.10,,,245153.84,,,,0.022029,%,,,6011788.31,,,,0.540197,%
May-24,,1.14,,,210401.57,,,,0.018906,%,,,6222189.88,,,,0.559103,%
Jun-24,,0.99,,,186908.56,,,,0.016795,%,,,6409098.44,,,,0.575898,%
Jul-24,,1.07,,,278733.03,,,,0.025046,%,,,6687831.47,,,,0.600944,%
Aug-24,,1.11,,,298116.65,,,,0.026788,%,,,6985948.12,,,,0.627732,%
Sep-24,,1.02,,,243072.47,,,,0.021842,%,,,7229020.59,,,,0.649573,%
Oct-24,,1.08,,,97045.05,,,,0.008720,%,,,7326065.64,,,,0.658293,%
Nov-24,,1.00,,,276745.31,,,,0.024867,%,,,7602810.95,,,,0.683161,%
Dec-24,,1.01,,,225714.00,,,,0.020282,%,,,7828524.95,,,,0.703443,%
Jan-25,,1.12,,,376989.11,,,,0.033875,%,,,8205514.06,,,,0.737317,%
Feb-25,,1.08,,,136651.54,,,,0.012279,%,,,8342165.60,,,,0.749596,%
Mar-25,,1.15,,,241708.77,,,,0.021719,%,,,8583874.37,,,,0.771315,%
Apr-25,,1.13,,,180234.19,,,,0.016195,%,,,8764108.56,,,,0.787511,%
May-25,,1.12,,,169712.73,,,,0.015250,%,,,8933821.29,,,,0.802760,%
Jun-25,,1.02,,,38409.64,,,,0.003451,%,,,8972230.93,,,,0.806212,%
Jul-25,,1.16,,,47387.12,,,,0.004258,%,,,9019618.05,,,,0.810470,%
Aug-25,,1.10,,,204799.99,,,,0.018403,%,,,9224418.04,,,,0.828872,%
