0,1,2,3,4
,,,,
Aggregate Amount Financed,,$,1121938434.96,
Number of Contracts in Pool,,,59907,
Average Amount Financed,,$,18728.00,
Weighted Average FICO Score,,,734.12,
Weighted Average Loan-to-Value Ratio,,,94.27,
Weighted Average Annual Percentage Rate of all Receivables in Pool,,,9.10,%
Discount Rate Applied to Receivables in Pool with Annual Percentage Rates at or below,,,0.00,%
Weighted Average Original Maturity (in months),,,70.39 Months,
Weighted Average Remaining Maturity (in months) (Range),,,53.46 Months,
,,(3 to 83 Months),(3 to 83 Months),
Percentage of New Cars and Light Trucks in Pool,,,40.02,%
Percentage of Used Cars and Light Trucks in Pool,,,59.98,%
Percentage of Cars in Pool,,,17.29,%
Percentage of Light Trucks in Pool,,,82.71,%
