0,1,2
RELEVANT PARTIES,,
Issuing Entity,,"BMW Vehicle Lease Trust 2025-1, which we refer to as the “issuing entity,” is a Delaware statutory trust. The  issuing entity will be established by the trust agreement."
Depositor,,"BMW Auto Leasing LLC. The depositor’s address and phone number are c/o BMW Financial Services NA, LLC, 200 BMW Drive, Woodcliff Lake, New Jersey 07677  and (201) 307-4000."
"Sponsor, Seller, Servicer and  Administrator",,"BMW Financial Services NA, LLC, which we refer to as “BMW FS.” The sponsor’s address and phone number are 200 BMW  Drive, Woodcliff Lake, New Jersey 07677 and (201) 307‑4000."
Indenture Trustee,,"U.S. Bank Trust Company, National Association."
Securities Intermediary,,U.S. Bank National Association.
Owner Trustee,,"Wilmington Trust, National Association."
Originator and Vehicle Trust (and issuing entity with respect to the SUBI Certificate),,"Financial Services Vehicle Trust, a Delaware statutory trust."
Vehicle Trustee,,BNY Mellon Trust of Delaware.
UTI Beneficiary,,BMW Manufacturing L.P.
Asset Representations Reviewer,,Clayton Fixed Income Services LLC.
