0,1,2,3
SUBI Trust Agreement,,"Collectively, the vehicle trust agreement, as amended and restated, between BMW Manufacturing L.P. and the vehicle trustee, which governs the vehicle  trust, and the SUBI supplement thereto between BMW Manufacturing L.P. and the vehicle trustee, under which the SUBI certificate is issued to BMW Manufacturing L.P.",
SUBI Certificate Transfer Agreement,,"The SUBI certificate transfer agreement between BMW Manufacturing L.P. and the depositor, under which the SUBI certificate is conveyed to the depositor.",
Issuer SUBI Certificate Transfer Agreement,,"The issuer SUBI certificate transfer agreement between the depositor and the issuing entity, under which the depositor’s right, title and interest in the  SUBI certificate is transferred to the issuing entity.",
Asset Representations Review Agreement,,"The asset representations review agreement among the issuing entity, the servicer and the asset representations reviewer.",
RELEVANT DATES,,,
Closing Date,,"Expected to be on or about June 10, 2025.",
Cutoff Date,,"The cutoff date for the pool of closed-end BMW leases allocated to the 2025-1 SUBI, which are referred to herein as the “specified  leases,” and for the related BMW leased vehicles, which are referred to herein as the “specified vehicles,” is the close of business on April 30, 2025. The issuing entity will be entitled  to all collections in respect of the specified leases and related specified vehicles received after the cutoff date.",
Collection Period,,"For any payment date other than the first payment date, the month immediately preceding the month in which the related payment date occurs. The  collection period for the July 2025 payment date will begin on May 1, 2025 and end on June 30, 2025.",
Payment Dates,,"The issuing entity will pay interest on and principal of the notes on the 25th day of each month using amounts received from collections on the specified  leases and specified vehicles during the immediately preceding collection period, together with other amounts available for such purpose on deposit in the reserve fund, after payment of certain amounts due and owing to the servicer, the  indenture trustee, the owner trustee and the asset representations reviewer. If the 25th day of the month is not a business day, payments on the notes will be made on the next business day. The date that any payment is made is called a  payment date. The first payment date is expected to be July 25, 2025.",
Final Scheduled Payment Dates,,The final principal payment for each class of notes is due and payable on the applicable final scheduled payment date specified on the front cover of this  prospectus.,
Expected Final Payment Dates,,"The final principal payment for each class of notes is expected to be made on the applicable expected final payment date specified on the front cover of  this prospectus. However, due to a variety of factors described herein, there can be no",
