0,1,2,3,4,5,6,7
,,,,,,,
Payment Date,0%,50%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
September 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
October 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
December 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
January 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
February 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
April 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
September 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
October 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.52%
December 2026,100.00%,100.00%,100.00%,100.00%,100.00%,94.34%,81.83%
January 2027,100.00%,100.00%,100.00%,96.80%,91.34%,79.81%,67.32%
February 2027,100.00%,90.08%,90.08%,84.82%,79.37%,67.82%,55.26%
March 2027,85.18%,75.48%,75.48%,70.36%,65.05%,53.77%,41.46%
April 2027,72.72%,63.19%,63.19%,58.14%,52.89%,41.68%,29.33%
May 2027,65.72%,56.01%,56.01%,50.85%,45.45%,33.82%,20.75%
June 2027,57.25%,47.47%,47.47%,42.24%,36.73%,24.70%,10.76%
July 2027,50.54%,40.57%,40.57%,35.19%,29.48%,16.77%,1.27%
August 2027,39.11%,29.39%,29.39%,24.08%,18.39%,5.37%,0.00%
September 2027,25.91%,16.73%,16.73%,11.68%,6.21%,0.00%,0.00%
October 2027,7.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
November 2027,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,
Weighted Average Life to Maturity (years)(2),2.13,2.06,2.06,2.02,1.98,1.89,1.79
Weighted Average Life to Call (years)(2)(3),2.13,2.06,2.06,2.02,1.98,1.89,1.79
