0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
September 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
October 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
December 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
January 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
February 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
April 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2027,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2027,100.00%,100.00%,100.00%,100.00%,100.00%,91.47%
September 2027,100.00%,100.00%,100.00%,100.00%,93.81%,81.50%
October 2027,100.00%,100.00%,100.00%,96.06%,84.49%,71.80%
November 2027,100.00%,99.13%,93.79%,88.22%,76.32%,63.20%
December 2027,100.00%,91.75%,86.25%,80.50%,68.14%,54.37%
January 2028,93.87%,83.34%,77.70%,71.77%,58.92%,44.33%
February 2028,83.06%,72.50%,66.81%,60.80%,47.56%,32.04%
March 2028,70.60%,60.19%,54.53%,48.49%,34.95%,18.23%
April 2028,56.41%,46.37%,40.85%,34.90%,21.18%,2.78%
May 2028,48.13%,38.10%,32.53%,26.48%,12.22%,0.00%
June 2028,41.36%,31.54%,26.09%,20.18%,6.31%,0.00%
July 2028,30.31%,21.17%,16.11%,10.62%,0.00%,0.00%
August 2028,20.57%,12.19%,7.56%,2.55%,0.00%,0.00%
September 2028,8.76%,1.40%,0.00%,0.00%,0.00%,0.00%
October 2028,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),2.14,2.06,2.01,1.96,1.84,1.72
Weighted Average Life to Call (years)(2)(3),2.14,2.06,2.01,1.96,1.84,1.72
