0,1,2,3,4
,,,,
Class A-1 Asset Backed Notes,,$,96000000,
Class A-2 Asset Backed Notes,,$,128000000,
Class A-3 Asset Backed Notes,,$,112000000,
Class B Asset Backed Notes,,$,64000000,
Class C Asset Backed Notes,,$,100000000,
Class D Asset Backed Notes,,$,124000000,
Class E Asset Backed Notes(2),,$,56000000,
,,,,
Total,,$,680000000,
,,,,
(1) All or a portion of one or more of the classes of notes offered hereby may be initially retained by the depositor or an affiliate thereof. (2) The Class E notes are not being offered hereby.,(1) All or a portion of one or more of the classes of notes offered hereby may be initially retained by the depositor or an affiliate thereof. (2) The Class E notes are not being offered hereby.,(1) All or a portion of one or more of the classes of notes offered hereby may be initially retained by the depositor or an affiliate thereof. (2) The Class E notes are not being offered hereby.,(1) All or a portion of one or more of the classes of notes offered hereby may be initially retained by the depositor or an affiliate thereof. (2) The Class E notes are not being offered hereby.,
