0,1,2,3,4,5,6,7,8,9,10
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"June 15, 2025",,100%,,100%,,100%,,100%,,100%
"July 15, 2025",,100%,,100%,,100%,,100%,,95%
"August 15, 2025",,100%,,93%,,84%,,80%,,72%
"September 15, 2025",,89%,,79%,,71%,,67%,,57%
"October 15, 2025",,81%,,68%,,61%,,55%,,44%
"November 15, 2025",,73%,,58%,,50%,,43%,,30%
"December 15, 2025",,65%,,48%,,39%,,32%,,16%
"January 15, 2026",,57%,,38%,,29%,,20%,,3%
"February 15, 2026",,49%,,29%,,19%,,9%,,0%
"March 15, 2026",,41%,,19%,,8%,,0%,,0%
"April 15, 2026",,33%,,10%,,0%,,0%,,0%
"May 15, 2026",,25%,,0%,,0%,,0%,,0%
"June 15, 2026",,18%,,0%,,0%,,0%,,0%
"July 15, 2026",,10%,,0%,,0%,,0%,,0%
"August 15, 2026",,3%,,0%,,0%,,0%,,0%
"September 15, 2026",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,0.77,,0.60,,0.53,,0.48,,0.41
Weighted Average Life (Years) to Maturity,,0.77,,0.60,,0.53,,0.48,,0.41
