0,1,2
THE SERVICER,,50.0
,,
SERVICING BY BAC,,51.0
,,
Payment Channels and Methods,,51.0
Payment Application,,51.0
Collections,,52.0
"Modification of Contracts-Due Date Changes, Extensions and Mature Payment Plans",,52.0
Disaster Relief and Recovery,,52.0
Charge-off Guidelines,,53.0
Sales of Deficiency Balances,,53.0
"Repossession, Reinstatements and Liquidations",,53.0
Bankruptcy,,53.0
Impounds,,53.0
Insurance Policies and Processing,,54.0
,,
THE STANDBY SERVICER,,54.0
,,
THE ASSET REPRESENTATIONS REVIEWER,,54.0
,,
AFFILIATIONS AND CERTAIN RELATIONSHIPS,,56.0
,,
THE RECEIVABLES POOL,,56.0
,,
Characteristics of the Receivables,,56.0
Calculation Methods,,56.0
Exceptions to Underwriting Criteria,,57.0
Asset Level Information,,58.0
Pool Stratifications as of the Cut-off Date,,58.0
Delinquencies and Net Losses,,80.0
Delinquency Experience Regarding the Pool of Receivables as of the Cut-off Date,,82.0
Information About Certain Previous Securitizations,,83.0
Review of Pool Assets,,84.0
Repurchases and Replacements,,85.0
,,
MATURITY AND PREPAYMENT CONSIDERATIONS,,85.0
,,
THE NOTES,,109.0
,,
General,,109.0
Delivery of Notes,,109.0
Book-Entry Registration,,109.0
Definitive Notes,,110.0
Notes Owned by Transaction Parties,,111.0
Access to Noteholder Lists,,111.0
Statements to Noteholders,,111.0
Payments of Interest,,113.0
Payments of Principal,,114.0
,,
THE TRANSFER AGREEMENTS AND THE ADMINISTRATION AGREEMENT,,115.0
,,
Sale and Assignment of Receivables,,116.0
Representations and Warranties,,116.0
Asset Representations Review,,118.0
Requests to Repurchase and Dispute Resolution,,121.0
Administration Agreement,,124.0
Amendment Provisions,,124.0
Accounts,,125.0
