0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,,Class A-2 Notes,Class A-2 Notes,Class A-2 Notes,Class A-2 Notes,Class A-2 Notes,Class A-2 Notes,Class A-2 Notes
Distribution Date,,0.50%,,1.00%,,1.50%,,2.00%,,0.50%,,1.00%,,1.50%,,2.00%
Closing Date,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
April 2025,,84%,,80%,,75%,,50%,,100%,,100%,,100%,,100%
May 2025,,68%,,61%,,51%,,27%,,100%,,100%,,100%,,100%
June 2025,,52%,,42%,,28%,,3%,,100%,,100%,,100%,,100%
July 2025,,37%,,24%,,5%,,0%,,100%,,100%,,100%,,90%
August 2025,,22%,,5%,,0%,,0%,,100%,,100%,,92%,,79%
September 2025,,6%,,0%,,0%,,0%,,100%,,94%,,82%,,69%
October 2025,,0%,,0%,,0%,,0%,,96%,,86%,,74%,,61%
November 2025,,0%,,0%,,0%,,0%,,91%,,80%,,67%,,53%
December 2025,,0%,,0%,,0%,,0%,,86%,,74%,,60%,,45%
January 2026,,0%,,0%,,0%,,0%,,82%,,69%,,53%,,38%
February 2026,,0%,,0%,,0%,,0%,,77%,,63%,,47%,,30%
March 2026,,0%,,0%,,0%,,0%,,72%,,58%,,40%,,23%
April 2026,,0%,,0%,,0%,,0%,,68%,,52%,,34%,,15%
May 2026,,0%,,0%,,0%,,0%,,63%,,47%,,28%,,8%
June 2026,,0%,,0%,,0%,,0%,,59%,,41%,,22%,,1%
July 2026,,0%,,0%,,0%,,0%,,54%,,36%,,16%,,0%
August 2026,,0%,,0%,,0%,,0%,,50%,,31%,,10%,,0%
September 2026,,0%,,0%,,0%,,0%,,46%,,26%,,5%,,0%
October 2026,,0%,,0%,,0%,,0%,,42%,,21%,,0%,,0%
November 2026,,0%,,0%,,0%,,0%,,37%,,16%,,0%,,0%
December 2026,,0%,,0%,,0%,,0%,,33%,,11%,,0%,,0%
January 2027,,0%,,0%,,0%,,0%,,29%,,7%,,0%,,0%
February 2027,,0%,,0%,,0%,,0%,,25%,,2%,,0%,,0%
March 2027,,0%,,0%,,0%,,0%,,21%,,0%,,0%,,0%
April 2027,,0%,,0%,,0%,,0%,,16%,,0%,,0%,,0%
May 2027,,0%,,0%,,0%,,0%,,12%,,0%,,0%,,0%
June 2027,,0%,,0%,,0%,,0%,,8%,,0%,,0%,,0%
July 2027,,0%,,0%,,0%,,0%,,4%,,0%,,0%,,0%
August 2027,,0%,,0%,,0%,,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,,,,,,,
Weighted Average Life (In Years) to Call,,0.28,,0.23,,0.19,,0.12,,1.45,,1.15,,0.91,,0.73
Weighted Average Life (In Years) to Maturity,,0.28,,0.23,,0.19,,0.12,,1.45,,1.15,,0.91,,0.73
