0,1,2,3,4,5,6,7,8
,,,,,,,,
,,Class E Notes,Class E Notes,Class E Notes,Class E Notes,Class E Notes,Class E Notes,Class E Notes
Distribution Date,,0.50%,,1.00%,,1.50%,,2.00%
Closing Date,,100%,,100%,,100%,,100%
April 2025,,100%,,100%,,100%,,100%
May 2025,,100%,,100%,,100%,,100%
June 2025,,100%,,100%,,100%,,100%
July 2025,,100%,,100%,,100%,,100%
August 2025,,100%,,100%,,100%,,100%
September 2025,,100%,,100%,,100%,,100%
October 2025,,100%,,100%,,100%,,100%
November 2025,,100%,,100%,,100%,,100%
December 2025,,100%,,100%,,100%,,100%
January 2026,,100%,,100%,,100%,,100%
February 2026,,100%,,100%,,100%,,100%
March 2026,,100%,,100%,,100%,,100%
April 2026,,100%,,100%,,100%,,100%
May 2026,,100%,,100%,,100%,,100%
June 2026,,100%,,100%,,100%,,100%
July 2026,,100%,,100%,,100%,,100%
August 2026,,100%,,100%,,100%,,100%
September 2026,,100%,,100%,,100%,,100%
October 2026,,100%,,100%,,100%,,100%
November 2026,,100%,,100%,,100%,,100%
December 2026,,100%,,100%,,100%,,100%
January 2027,,100%,,100%,,100%,,100%
February 2027,,100%,,100%,,100%,,100%
March 2027,,100%,,100%,,100%,,100%
April 2027,,100%,,100%,,100%,,100%
May 2027,,100%,,100%,,100%,,100%
June 2027,,100%,,100%,,100%,,100%
July 2027,,100%,,100%,,100%,,100%
August 2027,,100%,,100%,,100%,,100%
September 2027,,100%,,100%,,100%,,100%
October 2027,,100%,,100%,,100%,,100%
November 2027,,100%,,100%,,100%,,100%
December 2027,,100%,,100%,,100%,,100%
January 2028,,100%,,100%,,100%,,100%
February 2028,,100%,,100%,,100%,,100%
March 2028,,100%,,100%,,100%,,0%
April 2028,,100%,,100%,,100%,,0%
May 2028,,100%,,100%,,100%,,0%
June 2028,,100%,,100%,,100%,,0%
July 2028,,100%,,100%,,100%,,0%
August 2028,,100%,,100%,,100%,,0%
September 2028,,100%,,100%,,100%,,0%
October 2028,,100%,,100%,,100%,,0%
November 2028,,100%,,100%,,0%,,0%
December 2028,,100%,,100%,,0%,,0%
January 2029,,100%,,100%,,0%,,0%
February 2029,,100%,,100%,,0%,,0%
March 2029,,100%,,100%,,0%,,0%
April 2029,,100%,,100%,,0%,,0%
May 2029,,100%,,100%,,0%,,0%
June 2029,,100%,,100%,,0%,,0%
July 2029,,100%,,0%,,0%,,0%
August 2029,,100%,,0%,,0%,,0%
September 2029,,100%,,0%,,0%,,0%
October 2029,,100%,,0%,,0%,,0%
November 2029,,0%,,0%,,0%,,0%
,,,,,,,,
Weighted Average Life (In Years) to Call,,4.64,,4.30,,3.64,,2.97
Weighted Average Life (In Years) to Maturity,,5.39,,5.21,,4.54,,3.51
