0,1,2
,,
Document (Parties),,Primary Purposes
Trust Agreement (Seller) (Owner Trustee),,Creates the Trust as a Delaware statutory trust. Establishes the terms of and provides for the issuance of the Certificates. Establishes the rights of the Certificateholders. Establishes the rights and duties of the Owner Trustee.
,,
Receivables Purchase Agreement (CarMax Business Services) (Seller),,Transfers the Receivables from CarMax Business Services to the Seller.  Contains representations and warranties of CarMax Business Services concerning the Receivables. Requires CarMax Business Services to repurchase Receivables as to which certain representations and warranties are breached.
,,
Sale and Servicing Agreement (Trust) (Seller) (Servicer),,Transfers the Receivables from the Seller to the Trust. Contains representations and warranties of the Seller concerning the Receivables. Requires the Seller to repurchase Receivables as to which certain representations and warranties are breached.  Appoints and establishes the rights and duties of the Servicer.  Requires the Servicer to purchase Receivables as to which certain servicing covenants are breached. Provides for compensation of the Servicer.
Indenture (Trust) (Indenture Trustee),,Provides for the pledge of the Receivables by the Trust to the Indenture Trustee.  Establishes the terms of the Notes and provides for the issuance of the Notes.  Directs how payments are to be made on the Notes.  Establishes the rights of the Noteholders.  Establishes the rights and duties of the Indenture Trustee.
Asset Representations Review Agreement (Trust) (Asset Representations Reviewer) (Servicer),,Appoints and establishes the rights and duties of the Asset Representations Reviewer.  Establishes the procedures by which the Asset Representations Reviewer will conduct a review of Delinquent Receivables that are 60 days or more delinquent for their compliance with asset level representations and warranties provided by CarMax Business Services and the Seller.  Provides for compensation of the Asset Representations Reviewer.
,,
Administration Agreement (Trust) (CarMax Business Services) (Indenture Trustee),,Establishes the duties of the Administrator.
