0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-3,2020-3,,,2020-4,2020-4,,,2021-1,2021-1,,,2021-2,2021-2,,,2021-3,2021-3,,,2021-4,2021-4,,,2022-1,2022-1,
650 to 699,,,,,,,26.30,%,,,29.79,%,,,29.75,%,,,28.32,%,,,27.59,%,,,30.32,%,,,29.39,%
700 to 749,,,,,,,24.42,%,,,25.38,%,,,25.44,%,,,25.90,%,,,25.50,%,,,26.40,%,,,26.48,%
750 to 799,,,,,,,22.40,%,,,20.39,%,,,21.48,%,,,21.86,%,,,21.84,%,,,20.66,%,,,22.16,%
800 to 849,,,,,,,19.05,%,,,15.71,%,,,16.17,%,,,16.80,%,,,16.79,%,,,15.85,%,,,16.52,%
850 and above,,,,,,,7.83,%,,,8.74,%,,,7.16,%,,,7.12,%,,,8.28,%,,,6.76,%,,,5.44,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-2,2022-2,,,2022-3,2022-3,,,2022-4,2022-4,,,2023-1,2023-1,,,2023-2,2023-2,,,2023-3,2023-3,,,2023-4,2023-4,,,2024-1,2024-1,
650 to 699,,,28.08,%,,,28.26,%,,,27.50,%,,,27.36,%,,,27.08,%,,,26.56,%,,,26.51,%,,,26.67,%
700 to 749,,,26.68,%,,,26.56,%,,,26.22,%,,,24.63,%,,,24.54,%,,,23.80,%,,,23.53,%,,,23.64,%
750 to 799,,,22.99,%,,,22.89,%,,,23.04,%,,,23.58,%,,,23.72,%,,,22.69,%,,,23.06,%,,,22.74,%
800 to 849,,,17.04,%,,,17.01,%,,,17.40,%,,,18.35,%,,,18.70,%,,,19.98,%,,,19.76,%,,,19.72,%
850 and above,,,5.21,%,,,5.28,%,,,5.84,%,,,6.08,%,,,5.97,%,,,6.98,%,,,7.14,%,,,7.23,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-2,2024-2,,,2024-3,2024-3,,,2024-4,2024-4,,,2025-1,2025-1,,,2025-2,2025-2,,,2025-3,2025-3,,,2025-4,2025-4,,,2026-1(2),2026-1(2),
650 to 699,,,26.40,%,,,23.25,%,,,22.37,%,,,21.82,%,,,22.66,%,,,22.59,%,,,21.93,%,,,20.59,%
700 to 749,,,23.33,%,,,21.93,%,,,22.93,%,,,22.71,%,,,22.55,%,,,23.22,%,,,23.31,%,,,23.86,%
750 to 799,,,23.25,%,,,24.94,%,,,24.41,%,,,25.07,%,,,24.35,%,,,24.11,%,,,24.17,%,,,24.50,%
800 to 849,,,19.70,%,,,22.27,%,,,22.73,%,,,22.73,%,,,22.32,%,,,21.96,%,,,22.18,%,,,22.72,%
850 and above,,,7.33,%,,,7.62,%,,,7.56,%,,,7.67,%,,,8.11,%,,,8.11,%,,,8.41,%,,,8.33,%
