0,1,2,3,4,5,6
Closing Date,,"$134,785,415.84",,December 2027,,"$15,782,425.17"
July 2024,,130179144.89,,January 2028,,14558619.35
August 2024,,125662300.56,,February 2028,,13394037.72
September 2024,,121235673.45,,March 2028,,12287608.52
October 2024,,116899380.99,,April 2028,,11238209.55
November 2024,,112653076.06,,May 2028,,10245076.40
December 2024,,108496383.89,,June 2028,,9307400.76
January 2025,,104429214.51,,July 2028,,8424137.15
February 2025,,100451628.37,,August 2028,,7594113.11
March 2025,,96563634.01,,September 2028,,6816768.37
April 2025,,92765197.92,,October 2028,,6091388.75
May 2025,,89056464.48,,November 2028,,5417035.72
June 2025,,85437488.95,,December 2028,,4792452.96
July 2025,,81908414.68,,January 2029,,4216371.19
August 2025,,78469148.71,,February 2029,,3687338.24
September 2025,,75119712.70,,March 2029,,3203488.13
October 2025,,71859980.81,,April 2029,,2762532.67
November 2025,,68689666.62,,May 2029,,2362378.17
December 2025,,65608612.79,,June 2029,,2000533.88
January 2026,,62616629.21,,July 2029,,1674390.83
February 2026,,59713477.39,,August 2029,,1381195.02
March 2026,,56898851.36,,September 2029,,1120467.94
April 2026,,54172172.34,,October 2029,,891708.26
May 2026,,51532356.63,,November 2029,,694377.74
June 2026,,48978292.24,,December 2029,,527672.91
July 2026,,46508483.53,,January 2030,,390976.73
August 2026,,44121091.54,,February 2030,,283462.94
September 2026,,41814008.69,,March 2030,,203090.01
October 2026,,39585421.39,,April 2030,,146968.44
November 2026,,37434141.87,,May 2030,,110149.29
December 2026,,35358780.92,,June 2030,,86414.91
January 2027,,33358167.76,,July 2030,,70006.18
February 2027,,31430520.71,,August 2030,,55582.98
March 2027,,29573771.87,,September 2030,,43052.83
April 2027,,27785874.21,,October 2030,,32359.16
May 2027,,26065041.43,,November 2030,,23438.30
June 2027,,24409361.98,,December 2030,,16192.27
July 2027,,22817216.69,,January 2031,,10504.90
August 2027,,21286908.18,,February 2031,,6232.85
September 2027,,19818429.63,,March 2031,,3238.91
October 2027,,18411714.37,,April 2031,,1359.86
November 2027,,17066545.65,,May 2031,,367.34
