0,1,2,3
Cutoff  Date,"$66,895,057.47",September 2028,"$5,902,043.08"
April 2025,64342090.08,October 2028,5360654.30
May 2025,61849568.47,November 2028,4850986.15
June 2025,59417868.66,December 2028,4372409.26
July 2025,57046879.37,January 2029,3924264.07
August 2025,54736422.61,February 2029,3506029.28
September 2025,52486212.48,March 2029,3116989.45
October 2025,50295864.45,April 2029,2756376.72
November 2025,48164947.48,May 2029,2423509.40
December 2025,46093078.69,June 2029,2117688.48
January 2026,44079833.90,July 2029,1838340.36
February 2026,42124819.96,August 2029,1584727.37
March 2026,40227663.74,September 2029,1356119.19
April 2026,38387984.14,October 2029,1151792.63
May 2026,36605314.28,November 2029,970882.60
June 2026,34878884.42,December 2029,812089.96
July 2026,33207801.41,January 2030,674339.82
August 2026,31591056.63,February 2030,556349.24
September 2026,30027169.47,March 2030,455720.15
October 2026,28514656.66,April 2030,370170.30
November 2026,27052330.00,May 2030,297952.56
December 2026,25639204.63,June 2030,237488.26
January 2027,24274755.72,July 2030,187343.40
February 2027,22958374.66,August 2030,146060.79
March 2027,21688883.99,September 2030,112412.21
April 2027,20465378.22,October 2030,85534.43
May 2027,19287326.57,November 2030,64577.07
June 2027,18154099.56,December 2030,48592.40
July 2027,17065094.38,January 2031,36837.85
August 2027,16019787.05,February 2031,28563.80
September 2027,15017521.31,March 2031,22552.68
October 2027,14057444.70,April 2031,17839.98
November 2027,13138071.15,May 2031,13817.60
December 2027,12257500.02,June 2031,10439.71
January 2028,11414202.56,July 2031,7668.75
February 2028,10606848.75,August 2031,5441.12
March 2028,9834499.81,September 2031,3680.30
April 2028,9096261.74,October 2031,2348.10
May 2028,8391473.89,November 2031,1375.88
June 2028,7719911.60,December 2031,701.36
July 2028,7081330.29,January 2032,280.38
August 2028,6475486.56,February 2032,68.89
