0,1,2,3,4,5,6,7
,,Principal  Amount(1),Principal  Amount(1),,Principal  Amount(2),Principal  Amount(2),
Class A-1  notes,,$,262500000.00,,$,315000000.00,
Class A-2a  notes  Class A-2b notes,,},480000000.00,,},576000000.00,
Class A-3  notes,,428000000.00,428000000.00,,513600000.00,513600000.00,
Class A-4  notes,,79500000.00,79500000.00,,95400000.00,95400000.00,
Class B  notes,,39480000.00,39480000.00,,47370000.00,47370000.00,
Class C  notes,,26310000.00,26310000.00,,31570000.00,31570000.00,
Residual  Interest — Initial Overcollateralization,,74384799.40,74384799.40,,89438947.84,89438947.84,
Subtotal  — Initial Pool Balance,,$,1390174799.40,,$,1668378947.84,
Reserve  Account,,3289475.05,3289475.05,,3947370.73,3947370.73,
Total,,$,1393464274.45,,$,1672326318.57,
