0,1,2,3,4
August 2027,11316246.98,,February 2031,117540.97
September 2027,10654205.19,,March 2031,96660.65
October 2027,10017144.11,,April 2031,78700.36
November 2027,9404472.92,,May 2031,63425.54
December 2027,8815556.77,,June 2031,50554.88
January 2028,8249898.03,,July 2031,39805.84
February 2028,7706998.97,,August 2031,31085.1
March 2028,7186563.36,,September 2031,24233.31
April 2028,6688345.35,,October 2031,19089.59
May 2028,6212149.06,,November 2031,15278.89
June 2028,5757702.06,,December 2031,12389.15
July 2028,5324721.15,,January 2032,9858.3
August 2028,4912982.42,,February 2032,7676.68
September 2028,4522185.92,,March 2032,5815.65
October 2028,4151917.85,,April 2032,4255.12
November 2028,3802037.61,,May 2032,2979.44
December 2028,3472129.33,,June 2032,1965.14
January 2029,3161493.2,,July 2032,1186.33
February 2029,2869991.38,,August 2032,627.37
March 2029,2597469.69,,September 2032,264.72
April 2029,2343741.95,,October 2032,70.73
