0,1,2,3,4,5,6,7,8,9,10
Underwriters,,Class A-1 Notes,Class A-1 Notes,,Class A-2a Notes,Class A-2a Notes,,Class A-2b Notes,Class A-2b Notes,
BNP Paribas Securities Corp.,,$,●,,$,●,,$,●,
CIBC World Markets Corp.,,,●,,,●,,,●,
Citigroup Global Markets Inc.,,,●,,,●,,,●,
Barclays Capital Inc.,,,●,,,●,,,●,
J.P. Morgan Securities LLC,,,●,,,●,,,●,
Total,,$,●,,$,●,,$,●,
,,,,,,,,,,
Underwriters,,Class A-3 Notes,Class A-3 Notes,,Class A-4 Notes,Class A-4 Notes,,Class B Notes,Class B Notes,
BNP Paribas Securities Corp.,,$,●,,$,●,,$,●,
CIBC World Markets Corp.,,,●,,,●,,,●,
Citigroup Global Markets Inc.,,,●,,,●,,,●,
Barclays Capital Inc.,,,●,,,●,,,●,
J.P. Morgan Securities LLC,,,●,,,●,,,●,
Total,,$,●,,$,●,,$,●,
