0,1,2,3,4,5,6,7,8
,,Principal  Amount(1),Principal  Amount(1),,,Principal  Amount(2),Principal  Amount(2),
Class  A-1 notes,,$,297000000.00,,,$,385000000.00,
Class  A-2a notes Class A-2b notes,},,506000000.00,,},,656000000.00,
Class  A-3 notes,,,469000000.00,,,,608000000.00,
Class  A-4 notes,,,78000000.00,,,,101000000.00,
Class  B notes,,,42630000.00,,,,55260000.00,
Class  C notes,,,28410000.00,,,,36830000.00,
Residual  Interest — Initial Overcollateralization,,,67921023.25,,,,87903214.22,
Subtotal  — Initial Pool Balance,,$,1488961023.25,,,$,1929993214.22,
Reserve  Account,,,3552622.85,,,,4605249.89,
Total,,$,1492513646.10,,,$,1934598464.11,
