0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
​,​,​,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,​
​,​,​,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,Assumed ABS Percentage,​
Payment Dates,​,​,0.00%,0.00%,0.00%,0.00%,​,​,0.50%,0.50%,0.50%,0.50%,​,​,1.00%,1.00%,1.00%,1.00%,​,​,1.40%,1.40%,1.40%,1.40%,​,​,1.70%,1.70%,1.70%,1.70%,​,​,2.00%,2.00%,2.00%,2.00%,​,​,2.30%,2.30%,2.30%,2.30%,​
2/15/2028,​,​,​,​,56.67%,​,​,​,​,​,35.86%,​,​,​,​,​,13.32%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
3/15/2028,​,​,​,​,52.10%,​,​,​,​,​,31.79%,​,​,​,​,​,9.81%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
4/15/2028,​,​,​,​,47.51%,​,​,​,​,​,27.75%,​,​,​,​,​,6.39%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
5/15/2028,​,​,​,​,42.87%,​,​,​,​,​,23.72%,​,​,​,​,​,3.05%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
6/15/2028,​,​,​,​,39.04%,​,​,​,​,​,20.35%,​,​,​,​,​,0.19%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
7/15/2028,​,​,​,​,35.18%,​,​,​,​,​,17.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
8/15/2028,​,​,​,​,31.29%,​,​,​,​,​,13.67%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​,​,​,​,0.00%,​,​
