0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Underwriter,​,​,Class A-1,Class A-1,Class A-1,Class A-1,​,​,Class A-2,Class A-2,Class A-2,Class A-2,​,​,Class A-3,Class A-3,Class A-3,Class A-3,​,​,Class A-4,Class A-4,Class A-4,Class A-4,​
Citigroup Global Markets Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
Mizuho Securities USA LLC,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
MUFG Securities Americas Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
"Academy Securities, Inc.",​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
BBVA Securities Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
BMO Capital Markets Corp.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
"BofA Securities, Inc.",​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
PNC Capital Markets LLC,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
Total,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
