0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Payment Date,​,​,Yield Supplement Overcollateralization Amount,Yield Supplement Overcollateralization Amount,Yield Supplement Overcollateralization Amount,Yield Supplement Overcollateralization Amount,​,​,Payment Date,​,​,Yield Supplement Overcollateralization Amount,Yield Supplement Overcollateralization Amount,Yield Supplement Overcollateralization Amount,Yield Supplement Overcollateralization Amount,​
Closing Date,​,​,​,$,31839004.64,​,​,​,"November 15, 2028",​,​,​,$,3065315.75,​,​
"June 15, 2025",​,​,​,​,30857225.26,​,​,​,"December 15, 2028",​,​,​,​,2752804.27,​,​
"July 15, 2025",​,​,​,​,29887027.90,​,​,​,"January 15, 2029",​,​,​,​,2459978.10,​,​
"August 15, 2025",​,​,​,​,28928632.51,​,​,​,"February 15, 2029",​,​,​,​,2186944.31,​,​
"September 15, 2025",​,​,​,​,27982261.83,​,​,​,"March 15, 2029",​,​,​,​,1933742.52,​,​
"October 15, 2025",​,​,​,​,27048133.50,​,​,​,"April 15, 2029",​,​,​,​,1700398.29,​,​
"November 15, 2025",​,​,​,​,26126457.92,​,​,​,"May 15, 2029",​,​,​,​,1486690.26,​,​
"December 15, 2025",​,​,​,​,25217441.54,​,​,​,"June 15, 2029",​,​,​,​,1292594.30,​,​
"January 15, 2026",​,​,​,​,24321299.93,​,​,​,"July 15, 2029",​,​,​,​,1118038.86,​,​
"February 15, 2026",​,​,​,​,23438241.17,​,​,​,"August 15, 2029",​,​,​,​,962820.85,​,​
"March 15, 2026",​,​,​,​,22568486.35,​,​,​,"September 15, 2029",​,​,​,​,826361.68,​,​
"April 15, 2026",​,​,​,​,21712260.73,​,​,​,"October 15, 2029",​,​,​,​,707404.05,​,​
"May 15, 2026",​,​,​,​,20869781.97,​,​,​,"November 15, 2029",​,​,​,​,604320.14,​,​
"June 15, 2026",​,​,​,​,20041274.05,​,​,​,"December 15, 2029",​,​,​,​,514810.44,​,​
"July 15, 2026",​,​,​,​,19226972.03,​,​,​,"January 15, 2030",​,​,​,​,436918.88,​,​
"August 15, 2026",​,​,​,​,18427104.56,​,​,​,"February 15, 2030",​,​,​,​,368815.91,​,​
"September 15, 2026",​,​,​,​,17641877.71,​,​,​,"March 15, 2030",​,​,​,​,308836.96,​,​
"October 15, 2026",​,​,​,​,16871509.58,​,​,​,"April 15, 2030",​,​,​,​,255984.05,​,​
"November 15, 2026",​,​,​,​,16116206.65,​,​,​,"May 15, 2030",​,​,​,​,209222.33,​,​
"December 15, 2026",​,​,​,​,15376176.18,​,​,​,"June 15, 2030",​,​,​,​,168373.91,​,​
"January 15, 2027",​,​,​,​,14651644.44,​,​,​,"July 15, 2030",​,​,​,​,133360.88,​,​
"February 15, 2027",​,​,​,​,13942848.12,​,​,​,"August 15, 2030",​,​,​,​,104074.55,​,​
"March 15, 2027",​,​,​,​,13249998.44,​,​,​,"September 15, 2030",​,​,​,​,80282.92,​,​
"April 15, 2027",​,​,​,​,12573318.95,​,​,​,"October 15, 2030",​,​,​,​,61299.81,​,​
"May 15, 2027",​,​,​,​,11913045.62,​,​,​,"November 15, 2030",​,​,​,​,46346.26,​,​
"June 15, 2027",​,​,​,​,11269405.70,​,​,​,"December 15, 2030",​,​,​,​,34819.80,​,​
"July 15, 2027",​,​,​,​,10642626.34,​,​,​,"January 15, 2031",​,​,​,​,26136.05,​,​
"August 15, 2027",​,​,​,​,10032943.93,​,​,​,"February 15, 2031",​,​,​,​,19775.62,​,​
"September 15, 2027",​,​,​,​,9440583.53,​,​,​,"March 15, 2031",​,​,​,​,15309.90,​,​
"October 15, 2027",​,​,​,​,8865723.70,​,​,​,"April 15, 2031",​,​,​,​,12175.57,​,​
"November 15, 2027",​,​,​,​,8308562.22,​,​,​,"May 15, 2031",​,​,​,​,9573.17,​,​
"December 15, 2027",​,​,​,​,7769284.26,​,​,​,"June 15, 2031",​,​,​,​,7312.17,​,​
"January 15, 2028",​,​,​,​,7248065.53,​,​,​,"July 15, 2031",​,​,​,​,5387.35,​,​
"February 15, 2028",​,​,​,​,6745080.62,​,​,​,"August 15, 2031",​,​,​,​,3796.06,​,​
"March 15, 2028",​,​,​,​,6260533.80,​,​,​,"September 15, 2031",​,​,​,​,2533.72,​,​
"April 15, 2028",​,​,​,​,5794577.08,​,​,​,"October 15, 2031",​,​,​,​,1583.31,​,​
"May 15, 2028",​,​,​,​,5347402.72,​,​,​,"November 15, 2031",​,​,​,​,906.21,​,​
"June 15, 2028",​,​,​,​,4919098.22,​,​,​,"December 15, 2031",​,​,​,​,458.70,​,​
"July 15, 2028",​,​,​,​,4509810.51,​,​,​,"January 15, 2032",​,​,​,​,192.35,​,​
"August 15, 2028",​,​,​,​,4119714.44,​,​,​,"February 15, 2032",​,​,​,​,57.88,​,​
"September 15, 2028",​,​,​,​,3748878.49,​,​,​,"March 15, 2032",​,​,​,​,4.52,​,​
"October 15, 2028",​,​,​,​,3397378.60,​,​,​,"April 15, 2032",​,​,​,​,0.00,​,​
