0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Underwriter,​,​,Class A-1,Class A-1,Class A-1,Class A-1,​,​,Class A-2a,Class A-2a,Class A-2a,Class A-2a,​,​,Class A-2b,Class A-2b,Class A-2b,Class A-2b,​,​,Class A-3,Class A-3,Class A-3,Class A-3,​,​,Class A-4,Class A-4,Class A-4,Class A-4,​
Barclays Capital Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
Mizuho Securities USA LLC,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
MUFG Securities Americas Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
BMO Capital Markets Corp.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
Citigroup Global Markets Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
Lloyds Securities Inc.,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
PNC Capital Markets LLC,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
"U.S. Bancorp Investments, Inc.",​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​
Total,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,,​,​,​,​,$,​,​,​
