0,1,2
Hyundai Auto Receivables  Trust 2025-A  Issuing entity,Hyundai Auto Receivables  Trust 2025-A  Issuing entity,
"If  the aggregate initial principal amount of the notes is $1,501,510,000, the following notes  will be issued:","If  the aggregate initial principal amount of the notes is $1,501,510,000, the following notes  will be issued:",
Class A-1  Notes,"$324,000,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$514,910,000",
Class A-4  Notes,"$73,770,000",
Class B  Notes,"$27,720,000",
Class C  Notes,"$46,200,000",
,,
"If the aggregate initial principal  amount of the notes is $1,751,760,000, the following notes will be issued:","If the aggregate initial principal  amount of the notes is $1,751,760,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$378,000,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$600,720,000",
Class  A-4 Notes,"$86,080,000",
Class  B Notes,"$32,340,000",
Class  C Notes,"$53,900,000",
,,
"If the aggregate initial principal amount of the notes is $2,005,250,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $2,005,250,000, the following notes will be issued:",
,,
Class A-1 Notes,"$432,700,000",
Class A-2-A Notes,$●,
Class A-2-B Notes,$●,
Class A-3 Notes,"$687,650,000",
Class A-4 Notes,"$98,530,000",
Class B Notes,"$37,020,000",
Class C Notes,"$61,700,000",
,,
PROSPECTUS,PROSPECTUS,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,Joint  Book Runners  Barclays  Citigroup Mizuho  SMBC Nikko  TD Securities  Co-Managers  ●  ●  ●  ●,
