0,1,2,3,4
Payment Date,,Yield Supplement  Overcollateralization  Amount,Yield Supplement  Overcollateralization  Amount,
Closing Date,,$,98639575.85,
July 2025,,,92201445.45,
August 2025,,,88778220.78,
September 2025,,,85418230.59,
October 2025,,,82122162.71,
November 2025,,,78890710.78,
December 2025,,,75724571.48,
January 2026,,,72624445.78,
February 2026,,,69591044.99,
March 2026,,,66625074.88,
April 2026,,,63727223.39,
May 2026,,,60898178.99,
June 2026,,,58138632.51,
July 2026,,,55449288.79,
August 2026,,,52830838.36,
September 2026,,,50283984.68,
October 2026,,,47809418.43,
