0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,Class A-2-A Notes,
Payment Date,,0.00%,0.00%,,,0.50%,0.50%,,,1.00%,,,1.30%,,,1.50%,1.50%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
October 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
November 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
December 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
January 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
February 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,88.96,%
March 2026,,,100.00,%,,,100.00,%,,100.00,%,,98.02,%,,,92.64,%,,,77.53,%
April 2026,,,100.00,%,,,100.00,%,,97.88,%,,89.45,%,,,83.39,%,,,66.37,%
May 2026,,,100.00,%,,,100.00,%,,90.36,%,,81.03,%,,,74.31,%,,,55.48,%
June 2026,,,100.00,%,,,98.12,%,,82.94,%,,72.74,%,,,65.41,%,,,44.86,%
July 2026,,,100.00,%,,,92.04,%,,75.64,%,,64.62,%,,,56.70,%,,,34.52,%
August 2026,,,100.00,%,,,86.00,%,,68.44,%,,56.65,%,,,48.17,%,,,24.44,%
September 2026,,,96.32,%,,,79.99,%,,61.34,%,,48.82,%,,,39.82,%,,,14.63,%
October 2026,,,91.23,%,,,74.00,%,,54.34,%,,41.14,%,,,31.65,%,,,5.11,%
November 2026,,,86.11,%,,,68.04,%,,47.43,%,,33.60,%,,,23.66,%,,,0.00,%
December 2026,,,80.94,%,,,62.10,%,,40.62,%,,26.20,%,,,15.85,%,,,0.00,%
January 2027,,,75.75,%,,,56.20,%,,33.91,%,,18.95,%,,,8.22,%,,,0.00,%
February 2027,,,70.52,%,,,50.32,%,,27.30,%,,11.85,%,,,0.77,%,,,0.00,%
March 2027,,,65.25,%,,,44.46,%,,20.78,%,,4.90,%,,,0.00,%,,,0.00,%
April 2027,,,59.95,%,,,38.64,%,,14.37,%,,0.00,%,,,0.00,%,,,0.00,%
May 2027,,,54.61,%,,,32.84,%,,8.06,%,,0.00,%,,,0.00,%,,,0.00,%
June 2027,,,49.37,%,,,27.19,%,,1.94,%,,0.00,%,,,0.00,%,,,0.00,%
July 2027,,,44.19,%,,,21.65,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
August 2027,,,38.98,%,,,16.13,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
September 2027,,,33.73,%,,,10.65,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
October 2027,,,28.44,%,,,5.19,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
November 2027,,,23.12,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
December 2027,,,17.76,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
January 2028,,,12.37,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
February 2028,,,6.94,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
March 2028,,,1.48,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
April 2028,,,0.00,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life to Call (years)(1),,,1.78,,,,1.46,,,1.18,,,1.03,,,,0.94,,,,0.75,
Weighted Average Life to Maturity (years)(2),,,1.78,,,,1.46,,,1.18,,,1.03,,,,0.94,,,,0.75,
