0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,,New,New,,,Used,Used,,,Total,Total,
Aggregate Outstanding Principal Balance,,$,579885986.42,,,$,1409142090.78,,,$,1989028077.20,
Number of Receivables,,,20370,,,,67686,,,,88056,
Percentage of Aggregate Outstanding Principal Balance,,,29.15,%,,,70.85,%,,,100.00,%
Average Outstanding Principal Balance,,$,28467.65,,,$,20818.81,,,$,22588.22,
Range of Outstanding Principal Balances,,$,"556.27 to $99,656.59",,,$,"506.63 to $96,279.92",,,$,"506.63 to $99,656.59",
Weighted Average Contract Rate(1),,,16.16,%,,,19.56,%,,,18.57,%
Range of Contract Rates,,,0.00% to 29.99,%,,,0.38% to 29.99,%,,,0.00% to 29.99,%
Weighted Average Remaining Term(1),,,66 months,,,,68 months,,,,67 months,
Range of Remaining Terms(2),,,4 months to 75 months,,,,4 months to 75 months,,,,4 months to 75 months,
Weighted Average Original Term(1),,,73 months,,,,72 months,,,,72 months,
Range of Original Terms(2),,,24 months to 75 months,,,,22 months to 75 months,,,,22 months to 75 months,
