0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,,DRIVE 2024-1,,DRIVE 2021-3,,DRIVE 2021-2,,DRIVE 2021-1,,DRIVE 2020-2,,DRIVE 2020-1,,DRIVE 2019-4,,DRIVE 2019-3,,DRIVE 2019-2,,DRIVE 2019-1
Original Mileage (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,
"0 - 5,000",,32.79%,,20.23%,,24.40%,,28.55%,,29.65%,,33.95%,,35.03%,,37.00%,,35.93%,,39.62%
"5,001 - 10,000",,2.15%,,2.43%,,2.37%,,1.90%,,1.86%,,1.78%,,1.75%,,1.68%,,1.97%,,1.65%
"10,001 - 15,000",,2.66%,,3.08%,,3.10%,,2.65%,,2.81%,,2.58%,,2.64%,,2.45%,,2.55%,,2.41%
"15,001 - 20,000",,3.24%,,3.93%,,4.02%,,3.56%,,3.87%,,3.40%,,3.54%,,3.32%,,3.38%,,3.10%
"20,001 - 25,000",,3.96%,,4.96%,,4.94%,,4.46%,,4.55%,,4.23%,,4.11%,,3.86%,,3.94%,,3.69%
"25,001 - 30,000",,4.37%,,5.91%,,5.81%,,5.52%,,5.17%,,4.71%,,4.81%,,4.42%,,4.45%,,4.46%
"30,001 - 35,000",,4.88%,,6.71%,,6.64%,,6.94%,,5.94%,,5.53%,,5.83%,,5.50%,,5.11%,,4.92%
"35,001 - 40,000",,4.61%,,6.45%,,6.53%,,7.28%,,7.01%,,6.04%,,6.21%,,5.80%,,5.60%,,5.25%
"40,001 - 45,000",,4.62%,,6.20%,,6.06%,,6.57%,,6.73%,,6.59%,,6.27%,,6.34%,,6.27%,,5.67%
"45,001 - 50,000",,4.32%,,5.46%,,5.22%,,4.90%,,5.20%,,5.55%,,5.21%,,5.53%,,5.93%,,5.32%
"50,001 and above",,32.41%,,34.64%,,30.90%,,27.67%,,27.22%,,25.63%,,24.58%,,24.10%,,24.87%,,23.92%
,,,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance)(5),,,,,,,,,,,,,,,,,,,,
350 and lower,,0.74%,,0.81%,,0.53%,,0.56%,,0.50%,,0.68%,,0.58%,,0.57%,,0.76%,,0.79%
351-400,,4.12%,,4.45%,,3.43%,,3.53%,,2.90%,,4.30%,,3.59%,,3.80%,,4.88%,,4.54%
401-450,,34.13%,,16.13%,,17.35%,,16.93%,,16.25%,,18.18%,,17.51%,,18.74%,,20.29%,,19.41%
451-500,,33.64%,,36.28%,,37.55%,,36.30%,,38.87%,,37.32%,,35.82%,,34.05%,,34.12%,,33.76%
501-550,,16.55%,,26.94%,,26.66%,,26.79%,,26.15%,,25.53%,,27.20%,,25.24%,,25.27%,,25.09%
551-600,,6.95%,,11.94%,,13.38%,,13.23%,,12.22%,,10.12%,,10.83%,,11.46%,,10.40%,,10.11%
601 and higher,,3.87%,,3.45%,,1.09%,,2.66%,,3.11%,,3.88%,,4.47%,,6.13%,,4.27%,,6.31%
Not Available(6),,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,,,,,,,,,
FICO® Score (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,
400 and lower,,0.01%,,0.02%,,0.02%,,0.01%,,0.02%,,0.03%,,0.02%,,0.02%,,0.03%,,0.02%
401-450,,0.57%,,0.70%,,0.98%,,0.54%,,0.82%,,0.82%,,0.70%,,0.59%,,0.80%,,0.78%
451-500,,4.47%,,5.55%,,7.91%,,4.54%,,5.07%,,4.37%,,4.89%,,4.19%,,5.45%,,5.24%
501-550,,16.81%,,20.27%,,21.99%,,18.29%,,20.20%,,18.67%,,19.90%,,17.74%,,20.59%,,19.10%
551-600,,32.21%,,33.64%,,25.85%,,31.72%,,28.97%,,31.93%,,31.76%,,30.09%,,31.62%,,29.60%
601-650,,27.23%,,20.32%,,19.29%,,21.46%,,19.81%,,20.19%,,20.53%,,20.68%,,20.07%,,19.97%
651-700,,6.37%,,4.26%,,5.82%,,5.79%,,6.04%,,6.45%,,6.45%,,7.94%,,6.44%,,7.06%
701 and higher,,2.38%,,1.66%,,3.01%,,2.42%,,3.81%,,2.45%,,2.57%,,3.67%,,2.70%,,3.78%
No FICO® Score(7),,9.93%,,13.57%,,15.12%,,15.24%,,15.27%,,15.09%,,13.19%,,15.09%,,12.30%,,14.44%
,,,,,,,,,,,,,,,,,,,,
LTV Range (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,
Less than 100%,,18.77%,,26.50%,,30.74%,,23.16%,,24.85%,,22.99%,,25.01%,,27.75%,,26.78%,,27.39%
100%-109.99%,,20.33%,,22.34%,,24.70%,,21.50%,,22.25%,,20.64%,,21.61%,,22.09%,,22.16%,,22.43%
110% - 119.99%,,24.96%,,24.30%,,23.31%,,24.32%,,25.19%,,24.60%,,24.94%,,23.93%,,24.71%,,22.27%
120% - 129.99%,,19.95%,,15.62%,,13.37%,,17.43%,,17.32%,,18.59%,,17.47%,,16.34%,,16.68%,,16.51%
130% - 139.99%,,14.19%,,10.62%,,7.52%,,13.04%,,9.97%,,12.52%,,10.52%,,9.39%,,9.28%,,10.51%
140% - 149.99%,,1.80%,,0.63%,,0.34%,,0.53%,,0.41%,,0.64%,,0.41%,,0.49%,,0.39%,,0.85%
150% and greater,,0.01%,,0.00%,,0.02%,,0.01%,,0.01%,,0.01%,,0.04%,,0.01%,,0.01%,,0.04%
