0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DRIVE 2025-1,DRIVE 2025-1,,,DRIVE 2024-2,DRIVE 2024-2,,,DRIVE 2024-1,DRIVE 2024-1,,,DRIVE 2021-3,DRIVE 2021-3,,,DRIVE 2021-2,DRIVE 2021-2,,,DRIVE 2021-1,DRIVE 2021-1,,,DRIVE 2020-2,DRIVE 2020-2,,,DRIVE 2020-1,DRIVE 2020-1,
FICO® Score (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 and lower,,,0.03,%,,,0.01,%,,,0.01,%,,,0.02,%,,,0.02,%,,,0.01,%,,,0.02,%,,,0.03,%
401-450,,,0.65,%,,,0.42,%,,,0.57,%,,,0.70,%,,,0.98,%,,,0.54,%,,,0.82,%,,,0.82,%
451-500,,,5.83,%,,,3.71,%,,,4.47,%,,,5.55,%,,,7.91,%,,,4.54,%,,,5.07,%,,,4.37,%
501-550,,,19.61,%,,,19.45,%,,,16.81,%,,,20.27,%,,,21.99,%,,,18.29,%,,,20.20,%,,,18.67,%
551-600,,,29.67,%,,,32.86,%,,,32.21,%,,,33.64,%,,,25.85,%,,,31.72,%,,,28.97,%,,,31.93,%
601-650,,,22.36,%,,,26.98,%,,,27.23,%,,,20.32,%,,,19.29,%,,,21.46,%,,,19.81,%,,,20.19,%
651-700,,,7.68,%,,,6.73,%,,,6.37,%,,,4.26,%,,,5.82,%,,,5.79,%,,,6.04,%,,,6.45,%
701 and higher,,,4.30,%,,,2.64,%,,,2.38,%,,,1.66,%,,,3.01,%,,,2.42,%,,,3.81,%,,,2.45,%
No FICO® Score(7),,,9.89,%,,,7.19,%,,,9.93,%,,,13.57,%,,,15.12,%,,,15.24,%,,,15.27,%,,,15.09,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV Range (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 100%,,,20.19,%,,,20.47,%,,,18.77,%,,,26.50,%,,,30.74,%,,,23.16,%,,,24.85,%,,,22.99,%
100%-109.99%,,,21.70,%,,,21.82,%,,,20.33,%,,,22.34,%,,,24.70,%,,,21.50,%,,,22.25,%,,,20.64,%
110% - 119.99%,,,26.69,%,,,26.05,%,,,24.96,%,,,24.30,%,,,23.31,%,,,24.32,%,,,25.19,%,,,24.60,%
120% - 129.99%,,,17.39,%,,,18.07,%,,,19.95,%,,,15.62,%,,,13.37,%,,,17.43,%,,,17.32,%,,,18.59,%
130% - 139.99%,,,12.42,%,,,12.17,%,,,14.19,%,,,10.62,%,,,7.52,%,,,13.04,%,,,9.97,%,,,12.52,%
140% - 149.99%,,,1.59,%,,,1.42,%,,,1.80,%,,,0.63,%,,,0.34,%,,,0.53,%,,,0.41,%,,,0.64,%
150% and greater,,,0.00,%,,,0.00,%,,,0.01,%,,,0.00,%,,,0.02,%,,,0.01,%,,,0.01,%,,,0.01,%
