0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,SDART 2025-4,,SDART 2025-3,,SDART 2025-2,,SDART 2025-1,,SDART 2024-5,,SDART 2024-4,,SDART 2024-3,,SDART 2024-2
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,1.50%,,0.41%,,0.33%,,0.81%,,1.47%,,1.16%,,0.32%,,0.20%
"$5,000.01 - $10,000.00",,3.34%,,2.28%,,1.76%,,3.71%,,5.38%,,3.56%,,2.01%,,1.60%
"$10,000.01 - $15,000.00",,4.75%,,5.27%,,6.14%,,6.62%,,8.02%,,5.48%,,5.45%,,5.60%
"$15,000.01 - $20,000.00",,10.42%,,11.17%,,13.70%,,12.10%,,13.47%,,11.07%,,12.15%,,13.04%
"$20,000.01 - $25,000.00",,17.68%,,17.21%,,18.98%,,16.73%,,17.28%,,17.37%,,18.65%,,19.33%
"$25,000.01 - $30,000.00",,19.11%,,18.09%,,18.60%,,17.60%,,15.99%,,17.96%,,18.78%,,18.19%
"$30,000.01 - $35,000.00",,15.27%,,14.81%,,14.04%,,13.66%,,11.97%,,14.05%,,14.55%,,14.39%
"$35,000.01 - $40,000.00",,9.94%,,10.48%,,8.70%,,9.42%,,7.66%,,9.37%,,9.98%,,9.32%
"$40,000.01 - $45,000.00",,5.86%,,6.54%,,5.23%,,6.39%,,4.98%,,6.24%,,5.85%,,5.62%
"$45,000.01 - $50,000.00",,4.28%,,4.91%,,4.01%,,4.33%,,3.83%,,4.43%,,4.42%,,4.26%
"$50,000.01 and greater",,7.84%,,8.84%,,8.52%,,8.64%,,9.95%,,9.31%,,7.85%,,8.46%
,,,,,,,,,,,,,,,,
Original Mileage (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,
"0 - 5,000",,28.21%,,30.95%,,28.95%,,33.68%,,31.95%,,30.41%,,31.59%,,29.16%
"5,001 - 10,000",,2.53%,,2.30%,,2.46%,,2.25%,,2.18%,,2.40%,,2.23%,,2.11%
"10,001 - 15,000",,2.82%,,2.53%,,2.72%,,2.62%,,2.64%,,3.03%,,2.73%,,2.73%
"15,001 - 20,000",,3.38%,,3.24%,,3.39%,,3.17%,,3.34%,,3.59%,,3.55%,,3.57%
"20,001 - 25,000",,4.09%,,3.89%,,4.02%,,3.83%,,4.02%,,4.37%,,4.08%,,4.02%
"25,001 - 30,000",,4.47%,,4.44%,,4.37%,,4.24%,,4.69%,,4.78%,,4.59%,,4.77%
"30,001 - 35,000",,4.97%,,4.55%,,4.82%,,4.73%,,4.95%,,5.04%,,4.72%,,4.93%
"35,001 - 40,000",,4.77%,,4.71%,,4.73%,,4.42%,,4.73%,,4.77%,,4.49%,,4.68%
"40,001 - 45,000",,4.84%,,4.61%,,4.78%,,4.73%,,4.83%,,4.81%,,4.63%,,4.66%
"45,001 - 50,000",,4.88%,,4.76%,,4.51%,,4.33%,,4.41%,,4.44%,,4.22%,,4.35%
