0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,SDART 2022-5,,SDART 2022-4,,SDART 2022-3,,SDART 2022-2,,SDART 2022-1,,SDART 2021-4,,SDART 2021-3,,SDART 2021-2,,SDART 2021-1
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,0.58%,,0.68%,,0.56%,,0.97%,,0.87%,,0.71%,,0.95%,,0.99%,,0.65%
"$5,000.01 - $10,000.00",,2.18%,,2.73%,,3.16%,,2.96%,,3.26%,,2.80%,,4.18%,,3.39%,,2.61%
"$10,000.01 - $15,000.00",,4.39%,,4.90%,,6.47%,,4.26%,,5.43%,,5.49%,,9.24%,,8.66%,,7.91%
"$15,000.01 - $20,000.00",,9.66%,,9.75%,,11.66%,,9.82%,,10.88%,,11.86%,,15.53%,,17.16%,,16.61%
"$20,000.01 - $25,000.00",,16.34%,,15.80%,,16.57%,,16.80%,,16.34%,,17.71%,,17.87%,,19.09%,,18.46%
"$25,000.01 - $30,000.00",,18.77%,,18.15%,,18.00%,,18.61%,,17.78%,,17.10%,,16.10%,,16.93%,,16.36%
"$30,000.01 - $35,000.00",,16.43%,,16.52%,,15.09%,,17.08%,,15.99%,,14.57%,,13.02%,,13.54%,,13.37%
"$35,000.01 - $40,000.00",,12.76%,,12.68%,,11.66%,,13.34%,,12.79%,,11.95%,,10.03%,,10.27%,,10.04%
"$40,000.01 - $45,000.00",,7.69%,,7.85%,,7.59%,,8.49%,,8.20%,,8.54%,,6.42%,,5.53%,,6.35%
"$45,000.01 - $50,000.00",,4.37%,,4.26%,,4.29%,,4.40%,,4.46%,,4.73%,,3.53%,,2.36%,,3.61%
"$50,000.01 and greater",,6.83%,,6.69%,,4.96%,,3.28%,,4.00%,,4.54%,,3.13%,,2.08%,,4.03%
,,,,,,,,,,,,,,,,,,
Original Mileage (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
"0 - 5,000",,25.89%,,27.98%,,30.26%,,24.56%,,22.93%,,24.42%,,31.88%,,33.57%,,36.75%
"5,001 - 10,000",,2.70%,,2.65%,,2.63%,,2.83%,,2.93%,,2.93%,,2.39%,,2.22%,,2.34%
"10,001 - 15,000",,3.60%,,3.54%,,3.37%,,3.55%,,3.59%,,3.51%,,2.96%,,2.97%,,2.93%
"15,001 - 20,000",,4.36%,,4.30%,,3.94%,,4.29%,,4.44%,,4.64%,,3.90%,,4.01%,,3.96%
"20,001 - 25,000",,4.93%,,4.93%,,4.62%,,4.88%,,5.17%,,5.33%,,4.80%,,4.86%,,4.63%
"25,001 - 30,000",,5.33%,,5.29%,,5.11%,,5.61%,,5.68%,,6.15%,,5.71%,,5.85%,,5.65%
"30,001 - 35,000",,5.64%,,5.36%,,5.46%,,5.74%,,6.12%,,6.57%,,6.52%,,6.95%,,6.71%
"35,001 - 40,000",,5.17%,,5.15%,,5.01%,,5.48%,,5.89%,,6.20%,,6.40%,,6.85%,,6.62%
"40,001 - 45,000",,5.01%,,4.89%,,5.04%,,5.17%,,5.44%,,5.63%,,5.83%,,5.98%,,5.52%
"45,001 - 50,000",,5.04%,,4.92%,,4.66%,,5.02%,,5.14%,,5.05%,,4.73%,,4.67%,,4.26%
"50,001 and above",,32.32%,,30.98%,,29.92%,,32.88%,,32.66%,,29.58%,,24.88%,,22.08%,,20.62%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance)(17),,,,,,,,,,,,,,,,,,
450 and lower,,9.79%,,7.03%,,7.69%,,8.89%,,10.73%,,9.54%,,10.42%,,9.53%,,10.60%
451 - 500,,20.09%,,25.07%,,23.48%,,22.21%,,21.46%,,24.04%,,22.42%,,22.93%,,21.90%
501 - 550,,32.25%,,32.01%,,32.00%,,32.61%,,30.72%,,30.21%,,30.87%,,30.51%,,30.07%
551 - 600,,20.90%,,21.22%,,21.68%,,21.37%,,21.41%,,21.47%,,21.22%,,20.96%,,20.45%
601 - 650,,10.02%,,7.63%,,7.61%,,7.76%,,7.61%,,7.89%,,9.99%,,10.12%,,10.31%
651 - 700,,3.89%,,4.30%,,4.37%,,4.49%,,4.93%,,4.00%,,3.19%,,3.65%,,3.50%
701 - 750,,1.76%,,1.67%,,1.85%,,1.72%,,1.83%,,1.40%,,1.18%,,1.35%,,1.39%
751+,,1.30%,,1.08%,,1.32%,,0.94%,,1.31%,,1.45%,,0.71%,,0.95%,,1.78%
Not Available(18),,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,,,,,,,
FICO® Score (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
1 - 500,,5.51%,,3.75%,,5.03%,,1.20%,,1.65%,,2.24%,,0.00%,,0.81%,,1.98%
501 - 550,,15.04%,,15.19%,,15.80%,,12.86%,,9.85%,,12.09%,,7.90%,,9.66%,,12.15%
551 - 600,,25.81%,,29.70%,,26.46%,,37.31%,,29.56%,,29.52%,,38.44%,,33.42%,,29.61%
601 - 650,,26.96%,,27.52%,,27.33%,,26.06%,,31.35%,,27.00%,,30.29%,,31.56%,,28.01%
651 and higher,,18.00%,,16.35%,,17.55%,,12.98%,,19.88%,,21.52%,,15.78%,,17.02%,,20.71%
No FICO® Score(19),,8.68%,,7.49%,,7.84%,,9.60%,,7.71%,,7.64%,,7.59%,,7.53%,,7.55%
,,,,,,,,,,,,,,,,,,
LTV Range (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
