0,1,2,3,4,5,6
Payment Date,,Yield Supplement  Overcollateralization Amount,,Payment Date,,Yield Supplement  Overcollateralization Amount
Closing Date,,"$88,463,080.65",,May 2027,,"$12,721,057.74"
August 2024,,82256277.72,,June 2027,,11641123.28
September 2024,,79232540.19,,July 2027,,10621333.78
October 2024,,76262812.00,,August 2027,,9661187.97
November 2024,,73347775.98,,September 2027,,8759690.16
December 2024,,70487307.94,,October 2027,,7915678.89
January 2025,,67681383.71,,November 2027,,7127866.04
February 2025,,64930211.27,,December 2027,,6394307.50
March 2025,,62234165.31,,January 2028,,5713523.48
April 2025,,59593645.02,,February 2028,,5083171.26
May 2025,,57009060.69,,March 2028,,4498918.04
June 2025,,54480776.03,,April 2028,,3957880.61
July 2025,,52009124.09,,May 2028,,3459274.49
August 2025,,49594512.89,,June 2028,,3002378.86
September 2025,,47237242.20,,July 2028,,2586156.22
October 2025,,44937606.79,,August 2028,,2209496.35
November 2025,,42695919.00,,September 2028,,1870952.98
December 2025,,40512473.26,,October 2028,,1568937.30
January 2026,,38387747.12,,November 2028,,1301712.98
February 2026,,36322335.61,,December 2028,,1067124.54
March 2026,,34316785.09,,January 2029,,863282.29
April 2026,,32371634.66,,February 2029,,687531.17
May 2026,,30487462.34,,March 2029,,536683.61
June 2026,,28664812.49,,April 2029,,407719.01
July 2026,,26904140.45,,May 2029,,299518.96
August 2026,,25205830.39,,June 2029,,211143.76
September 2026,,23570036.75,,July 2029,,141385.73
October 2026,,21996885.96,,August 2029,,88647.51
November 2026,,20486158.20,,September 2029,,50734.50
December 2026,,19037641.70,,October 2029,,25277.17
January 2027,,17651234.65,,November 2029,,10052.95
February 2027,,16326753.94,,December 2029,,2488.94
March 2027,,15063693.09,,January 2030,,2.83
April 2027,,13861797.30,,February 2030,,0.00
,,,,,,
,,,,,,
,,,,,,
