0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"August 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"September 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"October 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"November 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"December 15, 2025",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"January 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"February 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"March 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"April 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"May 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"June 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"July 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"August 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"September 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"October 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"November 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,99.89
"December 15, 2026",,,100.00,,100.00,,100.00,,100.00,,100.00,,92.37
"January 15, 2027",,,100.00,,100.00,,100.00,,100.00,,100.00,,85.10
"February 15, 2027",,,100.00,,100.00,,100.00,,100.00,,95.13,,78.07
"March 15, 2027",,,100.00,,100.00,,100.00,,99.55,,88.67,,71.29
"April 15, 2027",,,100.00,,100.00,,100.00,,93.44,,82.39,,64.73
"May 15, 2027",,,100.00,,100.00,,100.00,,87.47,,76.27,,58.39
"June 15, 2027",,,100.00,,100.00,,97.61,,81.64,,70.33,,52.28
"July 15, 2027",,,100.00,,100.00,,92.04,,75.95,,64.56,,46.39
"August 15, 2027",,,100.00,,100.00,,86.56,,70.40,,58.97,,40.74
"September 15, 2027",,,100.00,,100.00,,81.18,,64.99,,53.56,,35.32
"October 15, 2027",,,100.00,,100.00,,75.90,,59.73,,48.32,,30.13
"November 15, 2027",,,100.00,,95.31,,70.71,,54.62,,43.26,,25.17
"December 15, 2027",,,100.00,,90.06,,65.62,,49.65,,38.39,,20.45
"January 15, 2028",,,100.00,,84.83,,60.64,,44.83,,33.69,,15.97
"February 15, 2028",,,100.00,,80.07,,56.06,,40.39,,29.35,,11.79
"March 15, 2028",,,96.83,,75.32,,51.58,,36.08,,25.17,,7.82
"April 15, 2028",,,91.83,,70.60,,47.18,,31.91,,21.15,,4.07
"May 15, 2028",,,86.79,,65.91,,42.88,,27.87,,17.31,,0.53
"June 15, 2028",,,81.72,,61.24,,38.67,,23.97,,13.63,,0.00
"July 15, 2028",,,76.61,,56.59,,34.55,,20.21,,10.12,,0.00
"August 15, 2028",,,71.46,,51.97,,30.53,,16.58,,6.78,,0.00
"September 15, 2028",,,66.28,,47.38,,26.60,,13.09,,3.61,,0.00
"October 15, 2028",,,61.06,,42.81,,22.76,,9.75,,0.61,,0.00
"November 15, 2028",,,55.81,,38.27,,19.03,,6.55,,0.00,,0.00
"December 15, 2028",,,50.52,,33.75,,15.39,,3.49,,0.00,,0.00
"January 15, 2029",,,45.66,,29.62,,12.09,,0.74,,0.00,,0.00
"February 15, 2029",,,40.76,,25.52,,8.88,,0.00,,0.00,,0.00
"March 15, 2029",,,36.75,,22.13,,6.18,,0.00,,0.00,,0.00
"April 15, 2029",,,32.72,,18.77,,3.56,,0.00,,0.00,,0.00
"May 15, 2029",,,28.65,,15.43,,1.01,,0.00,,0.00,,0.00
"June 15, 2029",,,24.56,,12.10,,0.00,,0.00,,0.00,,0.00
"July 15, 2029",,,20.44,,8.80,,0.00,,0.00,,0.00,,0.00
"August 15, 2029",,,16.29,,5.52,,0.00,,0.00,,0.00,,0.00
"September 15, 2029",,,12.10,,2.25,,0.00,,0.00,,0.00,,0.00
"October 15, 2029",,,7.90,,0.00,,0.00,,0.00,,0.00,,0.00
"November 15, 2029",,,3.66,,0.00,,0.00,,0.00,,0.00,,0.00
"December 15, 2029",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,3.47,,3.15,,2.75,,2.47,,2.28,,1.99
Weighted Average Life to Maturity (Years)(2),,,3.47,,3.15,,2.75,,2.47,,2.28,,1.99
,,,,,,,,,,,,,
