0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,End of Month Aggregate Principal Balance(19),,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies
,,,End of Month Aggregate Principal Balance(19),,31-60 days(20),,61-90 days(20),,91-120 days(20),,121+ days(20),,>60 days Delinquent %(21)
Months Since Origination,,,End of Month Aggregate Principal Balance(19),,31-60 days(20),,61-90 days(20),,91-120 days(20),,121+ days(20),,>60 days Delinquent %(21)
Months Since Origination,0.0,,"$19,317,891,817",,"$26,327,388",,"$1,345,698",,"$117,867",,"$124,522",,0.01%
Months Since Origination,1.0,,18919451439,,36682241,,938376,,105400,,83105,,0.01%
Months Since Origination,2.0,,18339735387,,103798210,,5138314,,359315,,225009,,0.03%
Months Since Origination,3.0,,17773313108,,168102500,,26962017,,2883638,,601345,,0.17%
Months Since Origination,4.0,,17203683401,,168685805,,61686794,,16995671,,2154150,,0.47%
Months Since Origination,5.0,,16616805675,,167247183,,71143368,,38974452,,9324939,,0.72%
Months Since Origination,6.0,,16010310481,,158849200,,73899395,,41612373,,20430781,,0.85%
Months Since Origination,7.0,,15392891878,,152693666,,70097324,,42363840,,24230878,,0.89%
Months Since Origination,8.0,,14774479344,,144368801,,65269756,,41024974,,24701889,,0.89%
Months Since Origination,9.0,,14158976721,,136849653,,61313035,,37940694,,24393584,,0.87%
Months Since Origination,10.0,,13546687565,,131203345,,57467419,,35446808,,22924350,,0.86%
Months Since Origination,11.0,,12938193304,,122042168,,53540122,,32816648,,21644416,,0.83%
Months Since Origination,12.0,,12327044020,,113341521,,49359673,,30646454,,19763188,,0.81%
Months Since Origination,13.0,,11718571304,,106215073,,45324734,,28163218,,18333884,,0.78%
Months Since Origination,14.0,,11122032513,,98900638,,42787839,,25769711,,16899422,,0.77%
Months Since Origination,15.0,,10528512916,,93756189,,40105747,,24008034,,15033426,,0.75%
Months Since Origination,16.0,,8786056032,,77674115,,33670211,,20461882,,12483051,,0.76%
Months Since Origination,17.0,,7319837439,,65318096,,28303782,,17038079,,10173119,,0.76%
Months Since Origination,18.0,,5978354570,,53150337,,23506728,,14159624,,8415592,,0.77%
Months Since Origination,19.0,,4815506436,,43632959,,18695972,,11711493,,6720518,,0.77%
Months Since Origination,20.0,,3953159289,,35069021,,15446045,,9375631,,5470997,,0.77%
Months Since Origination,21.0,,3186881301,,28174341,,12236426,,7457680,,4278582,,0.75%
Months Since Origination,22.0,,2460955308,,21260311,,9472830,,5779448,,3240929,,0.75%
Months Since Origination,23.0,,1836040629,,15576712,,7019808,,4294142,,2396825,,0.75%
Months Since Origination,24.0,,1304141094,,10574235,,4696521,,3091012,,1625125,,0.72%
,25.0,,732320194,,5782300,,2655329,,1684711,,1044392,,0.74%
,26.0,,315052693,,2626251,,1135816,,722426,,419205,,0.72%
,27.0,,,,,,,,,,,,
,28.0,,,,,,,,,,,,
,29.0,,,,,,,,,,,,
,30.0,,,,,,,,,,,,
,31.0,,,,,,,,,,,,
,32.0,,,,,,,,,,,,
,33.0,,,,,,,,,,,,
,34.0,,,,,,,,,,,,
,35.0,,,,,,,,,,,,
,36.0,,,,,,,,,,,,
