0,1,2,3,4,5,6,7,8,9,10,11,12
,,End of Month Aggregate Principal Balance(18),,31-60 days(19),,61-90 days(19),,91-120 days(19),,121+ days(19),,>60 days Delinquent %(20)
Months Since Origination,,End of Month Aggregate Principal Balance(18),,31-60 days(19),,61-90 days(19),,91-120 days(19),,121+ days(19),,>60 days Delinquent %(20)
Months Since Origination,0.0,"$19,321,496,565",,"$26,370,663",,"$1,348,528",,"$117,867",,"$124,522",,0.01%
Months Since Origination,1.0,18923095571,,36712360,,940986,,105400,,83105,,0.01%
Months Since Origination,2.0,18343274802,,103869974,,5142297,,359315,,225009,,0.03%
Months Since Origination,3.0,17776750578,,168183544,,26966740,,2885238,,601345,,0.17%
Months Since Origination,4.0,17207020612,,168758926,,61695146,,16996820,,2155750,,0.47%
Months Since Origination,5.0,16620038177,,167319059,,71149860,,38974692,,9327039,,0.72%
Months Since Origination,6.0,16013442853,,158911193,,73902109,,41614898,,20432381,,0.85%
Months Since Origination,7.0,15395920164,,152758997,,70101779,,42364298,,24235328,,0.89%
Months Since Origination,8.0,14777405281,,144426384,,65274967,,41026143,,24703949,,0.89%
Months Since Origination,9.0,14161800814,,136911786,,61315419,,37942825,,24395538,,0.87%
Months Since Origination,10.0,13549409730,,131268119,,57470372,,35447239,,22927741,,0.85%
Months Since Origination,11.0,12940812828,,122089434,,53548345,,32818702,,21646499,,0.83%
Months Since Origination,12.0,12329559719,,113390633,,49364826,,30647698,,19764090,,0.81%
Months Since Origination,13.0,11720981814,,106262145,,45327130,,28164494,,18334753,,0.78%
Months Since Origination,14.0,11124342020,,98944252,,42792692,,25770298,,16900261,,0.77%
Months Since Origination,15.0,10530718788,,93794060,,40110891,,24008034,,15034237,,0.75%
Months Since Origination,16.0,9943399968,,87399099,,36955588,,22219238,,13688232,,0.73%
Months Since Origination,17.0,9359730412,,82741058,,34945981,,20461246,,12306871,,0.72%
Months Since Origination,18.0,8779085226,,77507790,,32783522,,19097876,,11277759,,0.72%
Months Since Origination,19.0,7243055290,,63913727,,26788742,,15953497,,9239788,,0.72%
Months Since Origination,20.0,5957670346,,51947389,,22147778,,12947529,,7592231,,0.72%
Months Since Origination,21.0,4796825312,,42261840,,17907198,,10394299,,6099652,,0.72%
Months Since Origination,22.0,3804204292,,32965897,,14332930,,8245193,,4641114,,0.72%
Months Since Origination,23.0,3072590321,,26363494,,11339121,,6638633,,3791096,,0.71%
Months Since Origination,24.0,2432144250,,20715173,,8639571,,5208799,,2893201,,0.69%
Months Since Origination,25.0,1839621849,,15628513,,6658388,,3790705,,2276219,,0.69%
Months Since Origination,26.0,1338535945,,11824056,,4761689,,2741477,,1600319,,0.68%
Months Since Origination,27.0,925711676,,8321743,,3438867,,1925208,,1151744,,0.70%
Months Since Origination,28.0,500628372,,4834606,,2014149,,1113654,,700636,,0.76%
Months Since Origination,29.0,206759303,,2157022,,940012,,496951,,338988,,0.86%
Months Since Origination,30.0,,,,,,,,,,,
Months Since Origination,31.0,,,,,,,,,,,
Months Since Origination,32.0,,,,,,,,,,,
Months Since Origination,33.0,,,,,,,,,,,
Months Since Origination,34.0,,,,,,,,,,,
Months Since Origination,35.0,,,,,,,,,,,
Months Since Origination,36.0,,,,,,,,,,,
