0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,End of Month Aggregate Principal Balance(18),,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies
,,,,End of Month Aggregate Principal Balance(18),,31-60 days(19),,61-90 days(19),,91-120 days(19),,121+ days(19),,>60 days Delinquent %(20)
Months Since Origination,,,,End of Month Aggregate Principal Balance(18),,31-60 days(19),,61-90 days(19),,91-120 days(19),,121+ days(19),,>60 days Delinquent %(20)
Months Since Origination,,0.0,,"$21,346,419,139",,"$31,948,319",,"$2,036,349",,"$531,802",,"$242,797",,0.01%
Months Since Origination,,1.0,,20911136890,,43011342,,1529933,,185747,,146835,,0.01%
Months Since Origination,,2.0,,20257070622,,123177122,,6365911,,463544,,310137,,0.04%
Months Since Origination,,3.0,,19606033181,,178078439,,28726143,,2992888,,661465,,0.17%
Months Since Origination,,4.0,,18956734777,,168892377,,56941081,,16366085,,2091954,,0.40%
Months Since Origination,,5.0,,18289695434,,165636562,,61756439,,33421568,,8863976,,0.57%
Months Since Origination,,6.0,,17605507844,,159153867,,63126254,,34309962,,17850630,,0.65%
Months Since Origination,,7.0,,16914070388,,151694452,,60997210,,35506419,,19725943,,0.69%
Months Since Origination,,8.0,,16222322751,,144959458,,57511700,,34287693,,19680031,,0.69%
Months Since Origination,,9.0,,15532113101,,137712818,,54553474,,32192399,,18904067,,0.68%
Months Since Origination,,10.0,,14845506909,,130810315,,50962281,,30693097,,17833241,,0.67%
Months Since Origination,,11.0,,14162991993,,121917968,,47715869,,28700437,,17772759,,0.67%
Months Since Origination,,12.0,,13477539108,,112510304,,44132780,,26474446,,17118910,,0.65%
Months Since Origination,,13.0,,12792224567,,108797913,,41118161,,24447117,,16087912,,0.64%
Months Since Origination,,14.0,,12115738609,,101599090,,39222792,,22711168,,15125974,,0.64%
Months Since Origination,,15.0,,11451053559,,95992834,,36760713,,21531109,,14327537,,0.63%
Months Since Origination,,16.0,,10789408999,,90039819,,35353739,,20162787,,13693197,,0.64%
Months Since Origination,,17.0,,10133422998,,83652427,,32075476,,18652651,,13148036,,0.63%
Months Since Origination,,18.0,,9485133427,,78641515,,29905327,,17657284,,12534327,,0.63%
Months Since Origination,,19.0,,8834524352,,73158840,,28347982,,16233218,,12228109,,0.64%
Months Since Origination,,20.0,,8188386230,,68560757,,26181371,,15361301,,11278555,,0.65%
Months Since Origination,,21.0,,7551242625,,63525010,,24476970,,14287417,,10413309,,0.65%
Months Since Origination,,22.0,,6923318918,,58593183,,23009898,,13596952,,9431639,,0.66%
Months Since Origination,,23.0,,6305420148,,53116458,,20876905,,12535684,,8826941,,0.67%
Months Since Origination,,24.0,,5690524971,,46891912,,18806301,,11253703,,7959106,,0.67%
Months Since Origination,,25.0,,5101327004,,42688393,,16811750,,10167736,,7209988,,0.67%
Months Since Origination,,26.0,,4542732863,,37617088,,15408390,,9188548,,6351097,,0.68%
Months Since Origination,,27.0,,3997379204,,33485258,,13759395,,8225300,,5542217,,0.69%
Months Since Origination,,28.0,,3469388019,,29729346,,12030114,,7315292,,4919547,,0.70%
Months Since Origination,,29.0,,2954988711,,25533024,,10871782,,6496924,,4373045,,0.74%
Months Since Origination,,30.0,,2456107103,,22142058,,9331084,,5811765,,3886183,,0.77%
Months Since Origination,,31.0,,1995076370,,19090844,,8122508,,4900018,,3536184,,0.83%
Months Since Origination,,32.0,,1562099631,,16015721,,7029215,,4248646,,3153714,,0.92%
Months Since Origination,,33.0,,1152085071,,12524955,,5899035,,3690893,,2891608,,1.08%
Months Since Origination,,34.0,,665538744,,8088748,,4047181,,2560978,,2213717,,1.33%
Months Since Origination,,35.0,,315519786,,5068575,,2687071,,1845265,,1698621,,1.97%
Months Since Origination,,36.0,,71696386,,2783113,,1670895,,1200828,,1265271,,5.77%
