0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,GSMC,GSMC,GSMC,,Single Asset/Portfolio:,Single Asset
Credit Assessment (Fitch/MDBRS/Moody’s):,Credit Assessment (Fitch/MDBRS/Moody’s):,NR/NR/NR,NR/NR/NR,NR/NR/NR,,Location:,"San Antonio, TX 78205"
Original Balance:,Original Balance:,"$22,600,000","$22,600,000","$22,600,000",,General Property Type:,Hospitality
Cut-off Date Balance:,Cut-off Date Balance:,"$22,550,505","$22,550,505","$22,550,505",,Detailed Property Type:,Full Service
% of Initial Pool Balance:,% of Initial Pool Balance:,3.6%,3.6%,3.6%,,Title Vesting:,Leasehold
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2003/NAP
Borrower Sponsor:,Borrower Sponsor:,"Doyle A. Graham, Jr.","Doyle A. Graham, Jr.","Doyle A. Graham, Jr.",,Size:,213 rooms
Guarantor:,Guarantor:,"Doyle A. Graham, Jr.","Doyle A. Graham, Jr.","Doyle A. Graham, Jr.",,Cut-off Date Balance Per Room:,"$105,871"
Mortgage Rate:,Mortgage Rate:,8.1210%,8.1210%,8.1210%,,Maturity Date Balance Per Room:,"$101,813"
Note Date:,Note Date:,6/5/2025,6/5/2025,6/5/2025,,Property Manager:,Hotel Valencia Corporation
Maturity Date:,Maturity Date:,6/6/2030,6/6/2030,6/6/2030,,,(borrower affiliated)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,,
Amortization Term:,Amortization Term:,360 months,360 months,360 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,IO Period:,NAP,NAP,NAP,,UW NOI:,"$3,182,098"
Seasoning:,Seasoning:,4 months,4 months,4 months,,UW NCF:,"$2,602,752"
Prepayment Provisions:,Prepayment Provisions:,"L(28),D(25),O(7)","L(28),D(25),O(7)","L(28),D(25),O(7)",,UW NOI Debt Yield:,14.1%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NCF Debt Yield:,11.5%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NOI Debt Yield at Maturity:,14.7%
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,UW NCF DSCR:,1.29x
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$3,229,907 (TTM 6/30/2025)"
,,,,,,2nd Most Recent NOI:,"$3,181,039 (12/31/2024)"
Reserves,Reserves,Reserves,Reserves,Reserves,,3rd Most Recent NOI:,"$2,491,563 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,61.0% (6/30/2025)
Taxes:,"$370,480","$370,480","$74,096",NAP,,2nd Most Recent Occupancy:,61.9% (12/31/2024)
Insurance:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,64.1% (12/31/2023)
Replacement Reserves:,$0,$0,"$47,847",NAP,,Appraised Value (as of)(1):,"$57,000,000 (3/13/2028)"
Ground Rent Reserve:,"$54,076","$54,076",Springing,NAP,,Appraised Value Per Room(1):,"$267,606"
,,,,,,Cut-off Date LTV Ratio(1):,39.6%
,,,,,,Maturity Date LTV Ratio(1):,38.0%
,,,,,,,
