0,1,2,3,4,5,6
Loan Name,Mortgage Loan  Cut-off Date Balance,Approx. % of Initial  Pool Balance,Loan per SF/Unit(1),U/W NCF DSCR(1)(2),Cut-off Date  LTV Ratio(1)(2),Property Type
205 East 42nd Street,"$ 64,000,000",9.0%,$ 306,1.67x,61.2%,Office
Rosedale Apartments,"$ 60,700,000",8.6%,"$ 183,603",1.25x,67.2%,Multifamily
Marriott Melville,"$ 59,948,341",8.4%,"$ 191,210",1.80x,68.5%,Hospitality
International Plaza,"$ 50,000,000",7.0%,$ 686,2.66x,40.9%,Retail
Overlook at Daleville,"$ 49,100,000",6.9%,"$ 204,583",1.29x,68.3%,Multifamily
Baldwin Hills Center,"$ 48,000,000",6.8%,$ 378,1.75x,53.5%,Mixed Use
Marriott Albuquerque,"$ 46,957,511",6.6%,"$ 114,252",1.73x,64.3%,Hospitality
Capital Storage Portfolio,"$ 40,000,000",5.6%,$ 82,1.39x,62.7%,Self Storage
Mall at Bay Plaza,"$ 30,000,000",4.2%,$ 244,2.29x,34.5%,Retail
1010 Pacific Street,"$ 30,000,000",4.2%,"$ 482,857",1.32x,68.7%,Multifamily
ExchangeRight Net Leased Portfolio #72,"$ 25,910,000",3.6%,$ 107,2.09x,50.0%,Various
651 Brannan Street,"$ 24,929,890",3.5%,$ 182,4.76x,28.0%,Office
Terra Apartments,"$ 19,000,000",2.7%,"$ 606,557",1.30x,60.4%,Multifamily
Terrace View Estates El Cajon MHC,"$ 18,000,000",2.5%,"$ 87,805",1.96x,38.8%,Manufactured Housing
The Common  Place,"$ 18,000,000",2.5%,"$ 204,545",1.30x,66.7%,Multifamily
Top  3 Total/Weighted Average,"$ 184,648,341",26.0%,,1.57x,65.5%,
Top  5 Total/Weighted Average,"$ 283,748,341",40.0%,,1.72x,61.7%,
Top  10 Total/Weighted Average,"$ 478,705,853",67.4%,,1.70x,59.9%,
Top  15 Total/Weighted Average,"$ 584,545,743",82.3%,,1.83x,57.7%,
