0,1,2
Appraisal Valuation Summary(1),Appraisal Valuation Summary(1),Appraisal Valuation Summary(1)
Property,As Is Value,Capitalization  Rate
U-Haul at I-20 & 360,"$25,420,000",6.09%
U-Haul at North Sam Houston & Antoine,"$21,000,000",6.25%
U-Haul at Fall River at I-195,"$14,900,000",6.25%
U-Haul of Eastgate & U-Haul of Irvington,"$12,900,000",6.50%
U-Haul of West Hartford,"$12,500,000",6.50%
U-Haul of Anchorage,"$11,140,000",6.50%
U-Haul of Southern Plaza,"$11,200,000",6.25%
U-Haul of Newark,"$9,580,000",6.25%
U-Haul Storage of Clackamas Town Center,"$8,740,000",6.25%
U-Haul of Levittown,"$8,000,000",5.75%
U-Haul of Eastland,"$8,850,000",5.75%
U-Haul of Lynwood,"$7,250,000",5.75%
U-Haul of New River,"$5,450,000",6.25%
U-Haul of Redwood City(2),"$8,210,000",5.00%
U-Haul Storage Othello Station,"$10,440,000",5.25%
U-Haul of Verde Valley,"$3,350,000",6.00%
U-Haul of Springfield,"$2,870,000",6.00%
U-Haul of Rainier Valley,"$8,730,000",5.25%
Total / Wtd. Avg.,"$190,530,000",6.05%
Portfolio Appraised Value,"$199,300,000",5.46%
