0,1,2,3,4,5,6,7,8
Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1),Comparable  Industrial Leases(1)
Property  Name/Location,Year  Built/ Renovated,Total  GLA (SF),Tenant,Tenant  Size (SF),Lease  Start Date,Lease  Term (years),Annual  Base Rent PSF,Lease  Type
"Air Depot Industrial  532 East Emaus Street  Middletown, PA",1940/2024,"435,880(2)",,,,,,
"1499 East Philadelphia Street  York, PA",1953/1970,176000,Current Offering,176000,May-25,5.0,$5.50,NNN
"101 Carleton Avenue Hazleton, PA",1920/2021,185100,Current Offering,185100,May-25,5.0,$6.80,NNN
"2802 South Turnpike Drive Middletown, PA",1973/NAP,60894,SEL Holdings,15318,Nov-24,3.0,$7.75,NNN
"181 Fulling Mill Road Middletown, PA",1999/NAP,185988,K&M Tire,53135,Nov-24,5.0,$7.80,NNN
"601 Memory Lane Springettsbury Township, PA",1953/2004,1524977,LSC Communication,597600,Apr-24,7.0,$7.00,NNN
"50 Rock Street Hughestown, PA",1965/1983,117517,"Kappa Graphics, LLC",117517,Apr-24,20.0,$5.97,NNN
"201 Cumberland Parkway Mechanicsburg, PA",1986/1999,563800,Schneider Electric,340000,Jan-24,2.8,$7.85,NNN
"2571 Mitchell Avenue Allentown, PA",1974/NAP,64379,Alleguard,64379,Oct-23,20.0,$7.61,NNN
