0,1,2,3,4,5,6,7,8,9,10,11,12
Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1),Tenant  Summary(1)
,,,,,,August 2025 TTM  Sales(3),August 2025 TTM  Sales(3),August 2025 TTM  Sales(3),,,,
Tenant  Name,Credit  Rating (Fitch/ Moody’s/ S&P)(2),Tenant  SF,%  of Total SF,Annual  UW Rent,%  of Total Annual  UW Rent,Annual  UW Rent PSF,Sales  $,Sales  PSF,Occ.  Cost,Lease  Exp,Renewal  Option,Term.  Option
Lee Wrangler Clearance Center,NR/Ba2/BB-,23272,4.9%,"$499,249",3.3%,$21.45,"$2,683,904",$115,18.6%,1/31/2029,,
Saks Fifth Avenue Off 5th,NR/NR/NR,19804,4.2%,"$272,305",1.8%,$13.75,"$2,709,230",$137,14.5%,10/31/2031,,
Nike Factory Store,NR/A2/A+,15076,3.2%,"$633,723",4.1%,$42.04,"$16,053,852","$1,065",5.8%,1/31/2032,"1, 5-year",
Old Navy,NR/Ba3/BB,12771,2.7%,"$260,528",1.7%,$20.40,NAV,NAV,NAV,11/30/2035,,
Gap Outlet,NR/Ba3/BB,11429,2.4%,"$252,228",1.6%,$22.07,"$2,943,987",$258,16.8%,1/31/2027,,
Occupied Subtotal/Wtd. Avg.,Occupied Subtotal/Wtd. Avg.,82352,17.3%,"$1,918,033",12.5%,$23.29,,,,,,
,,,,,,,,,,,,
Other Tenants,,320214,67.1%,"$13,411,528",87.5%,$41.88,,,,,,
Occupied Total/Wtd. Avg.,Occupied Total/Wtd. Avg.,402566,84.4%,"$15,329,561",100.0%,$38.08,,,,,,
,,,,,,,,,,,,
Vacant Space,,74609,15.6%,,,,,,,,,
Total/Wtd. Avg.,,477175,100.0%,,,,,,,,,
