0,1,2,3,4,5
,,Note B-1-1 and B-2-1,Non-Control,"$180,240,000",MTN 2026-LPFX
,,Note B-1-2 and B-2-2,Non-Control,"$45,060,000",MTN 2026-LPFX
,,Note B-1-3 and B-2-3,Non-Control,"$45,060,000",MTN 2026-LPFX
,,Note B-1-4 and B-2-4,Non-Control,"$90,120,000",MTN 2026-LPFX
,,Note B-1-5 and B-2-5,Non-Control,"$45,060,000",MTN 2026-LPFX
,,Note B-1-6 and B-2-6,Non-Control,"$45,060,000",MTN 2026-LPFX
Del Rey Campus,Serviced,Note A-1,Control,"$27,500,000",WFCM 2026-5C9
Del Rey Campus,Serviced,Note A-2,Non-Control,"$25,000,000",BMARK 2026-V21
Del Rey Campus,Serviced,Note A-3,Non-Control,"$12,500,000",BMARK 2026-V22
Del Rey Campus,Serviced,Note A-4,Non-Control,"$15,000,000",Goldman Sachs Bank USA
1500 Post Oak Boulevard,Non-Serviced,Note A-1,Control,"$60,000,000",BANK5 2026-5YR21
1500 Post Oak Boulevard,Non-Serviced,Note A-2,Non-Control,"$35,000,000",WFB
1500 Post Oak Boulevard,Non-Serviced,Note A-3,Non-Control,"$25,000,000",WFCM 2026-5C9
1500 Post Oak Boulevard,Non-Serviced,Note A-4,Non-Control,"$20,000,000",WFB
The Towers at Cupertino City Center,Non-Serviced,Note A-1-1,Control,"$60,000,000",WFB
The Towers at Cupertino City Center,Non-Serviced,Note A-1-2,Non-Control,"$20,000,000",BBCMS 2026-5C41
The Towers at Cupertino City Center,Non-Serviced,Note A-1-3,Non-Control,"$20,000,000",WFCM 2026-5C9
The Towers at Cupertino City Center,Non-Serviced,Note A-2-1,Non-Control,"$40,000,000",WFB
The Towers at Cupertino City Center,Non-Serviced,Note A-2-2,Non-Control,"$5,000,000",WFCM 2026-5C9
ONX Industrial Campus,Non-Serviced,Note A-1,Control,"$14,000,000",Starwood Mortgage Funding II LLC
ONX Industrial Campus,Non-Serviced,Note A-2,Non-Control,"$14,000,000",BCREI
ONX Industrial Campus,Non-Serviced,Note A-3,Non-Control,"$11,000,000",BMARK 2026-V22(2)
ONX Industrial Campus,Non-Serviced,Note A-4,Non-Control,"$11,000,000",BMARK 2026-V22
ONX Industrial Campus,Non-Serviced,Note A-5,Non-Control,"$10,000,000",WFCM 2026-5C9
ONX Industrial Campus,Non-Serviced,Note A-6,Non-Control,"$10,000,000",WFCM 2026-5C9
ONX Industrial Campus,Non-Serviced,Note A-7,Non-Control,"$2,500,000",Starwood Mortgage Funding II LLC
ONX Industrial Campus,Non-Serviced,Note A-8,Non-Control,"$2,500,000",BCREI
Kirby Industrial,Non-Serviced,Note A-1,Control,"$30,000,000",WFCM 2026-5C8
Kirby Industrial,Non-Serviced,Note A-2,Non-Control,"$21,000,000",BMO 2026 SC14
Kirby Industrial,Non-Serviced,Note A-3,Non-Control,"$30,000,000",WFCM 2026-5C8
Kirby Industrial,Non-Serviced,Note A-4,Non-Control,"$11,000,000",WFCM 2026-5C8
Kirby Industrial,Non-Serviced,Note A-5,Non-Control,"$10,000,000",WFCM 2026-5C9
