0,1,2,3,4
Mountain Industrial Portfolio Whole Loan Summary,Mountain Industrial Portfolio Whole Loan Summary,Mountain Industrial Portfolio Whole Loan Summary,Mountain Industrial Portfolio Whole Loan Summary,Mountain Industrial Portfolio Whole Loan Summary
Note(1),Original Balance,Cut-off Date Balance,Note Holder,Controlling Note
A-1-1 and A-2-1,"$332,760,000","$332,760,000",MTN 2026-LPFX,Yes
A-1-2 and A-2-2,"$83,190,000","$83,190,000",MTN 2026-LPFX,No
A-1-3 and A-2-3,"$83,190,000","$83,190,000",MTN 2026-LPFX,No
A-1-4 and A-2-4,"$166,380,000","$166,380,000",MTN 2026-LPFX,No
A-1-5 and A-2-5,"$83,190,000","$83,190,000",MTN 2026-LPFX,No
A-1-6 and A-2-6,"$83,190,000","$83,190,000",MTN 2026-LPFX,No
A-3-1-1-1 and A-4-1-1-1(2),"$67,000,000","$67,000,000",WFB,No
A-3-1-1-2 and A-4-1-1-2,"$43,000,000","$43,000,000",BANK5 2026-5YR22,No
A-3-1-2 and A-4-1-2,"$25,000,000","$25,000,000",WFCM 2026-5C9,No
A-3-2-1 and A-4-2-1(2),"$14,500,000","$14,500,000",BANA,No
A-3-2-2 and A-4-2-2,"$14,500,000","$14,500,000",BANK5 2026-5YR22,No
A-3-2-3 and A-4-2-3,"$4,750,000","$4,750,000",BANK5 2026-5YR22,No
A-3-3 and A-4-3(2),"$33,750,000","$33,750,000",BMO,No
A-3-4 and A-4-4,"$67,500,000","$67,500,000",BMARK 2026-V22,No
A-3-5-1 and A-4-5-1,"$19,250,000","$19,250,000",BANK5 2026-5YR22,No
A-3-5-2 and A-4-5-2(2),"$14,500,000","$14,500,000",MSMCH,No
A-3-6 and A-4-6(2),"$33,750,000","$33,750,000",UBS AG,No
Senior Loan,"$1,169,400,000","$1,169,400,000",,
B-1-1 and B-2-1(3),"$180,240,000","$180,240,000",MTN 2026-LPFX,No
B-1-2 and B-2-2(3),"$45,060,000","$45,060,000",MTN 2026-LPFX,No
B-1-3 and B-2-3(3),"$45,060,000","$45,060,000",MTN 2026-LPFX,No
B-1-4 and B-2-4(3),"$90,120,000","$90,120,000",MTN 2026-LPFX,No
B-1-5 and B-2-5(3),"$45,060,000","$45,060,000",MTN 2026-LPFX,No
B-1-6 and B-2-6(3),"$45,060,000","$45,060,000",MTN 2026-LPFX,No
Total Junior Notes,"$450,600,000","$450,600,000",,
Whole Loan,"$1,620,000,000","$1,620,000,000",,
