0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Moody’s/ Fitch/S&P)(2),Tenant SF,Approx. % of SF,Annual UW Rent(3),% of Total Annual UW Rent,Annual UW Rent PSF(4),Lease Exp.,Renewal Options,Term Option (Y/N)
Major Tenants,,,,,,,,,
PricewaterhouseCoopers,NR/NR/NR,46802,17.3%,"$2,264,203",21.3%,$48.38,10/31/2030,2 x 5 Yr,N
PNC Bank National Association,A3/A/A-,23386,8.6%,"$996,201",9.4%,$42.60,9/30/2028,1 x 5 Yr,N
New York Life Insurance Company,Aa3/AA/AA-,22539,8.3%,"$987,394",9.3%,$43.81,11/30/2030,1 x 5 Yr,Y(4)
MGR / Regus,NR/NR/NR,22145,8.2%,"$957,993",9.0%,$43.26,5/31/2035,1 x 5 Yr,N
"GSA, Public Buildings Service",Aa1/AA+/AA+,20784,7.7%,"$785,665",7.4%,$37.80,1/29/2031,,Y(5)
Major Tenants Subtotal/Wtd. Avg.,,135656,50.0%,"$5,991,456",56.3%,$44.17,,,
Other Tenants,,115578,42.6%,"$4,644,522",43.7%,$40.19,,,
Occupied Subtotal/Wtd. Avg.,,251234,92.6%,"$10,635,978",100.0%,$42.33,,,
Vacant Space,,20054,7.4%,,,,,,
Total/Wtd. Avg.,,271288,100.0%,,,,,,
