0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Payment Date,,,0.50%,,,,1.00%,,,,1.30%,,,,1.50%,,,,1.70%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
September 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
October 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
November 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
December 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
January 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
February 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
March 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
April 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
May 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
June 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
July 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
August 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
September 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
October 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
November 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
December 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
January 2027,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
February 2027,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,97.51,%
March 2027,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,92.08,%
April 2027,,,100.00,%,,,100.00,%,,,100.00,%,,,94.61,%,,,85.98,%
May 2027,,,100.00,%,,,100.00,%,,,98.40,%,,,89.63,%,,,80.01,%
June 2027,,,100.00,%,,,100.00,%,,,93.73,%,,,84.02,%,,,74.18,%
July 2027,,,100.00,%,,,100.00,%,,,88.44,%,,,78.53,%,,,68.49,%
August 2027,,,100.00,%,,,97.49,%,,,83.24,%,,,73.15,%,,,62.94,%
September 2027,,,100.00,%,,,93.26,%,,,78.14,%,,,67.90,%,,,57.52,%
October 2027,,,100.00,%,,,88.46,%,,,73.14,%,,,62.76,%,,,52.24,%
November 2027,,,100.00,%,,,83.73,%,,,68.24,%,,,57.74,%,,,47.11,%
December 2027,,,100.00,%,,,79.07,%,,,63.43,%,,,52.84,%,,,42.12,%
January 2028,,,99.55,%,,,74.47,%,,,58.73,%,,,48.07,%,,,37.27,%
February 2028,,,95.66,%,,,69.95,%,,,54.13,%,,,43.42,%,,,32.56,%
March 2028,,,91.27,%,,,65.49,%,,,49.63,%,,,38.89,%,,,28.00,%
April 2028,,,86.91,%,,,61.11,%,,,45.23,%,,,34.48,%,,,23.59,%
May 2028,,,82.82,%,,,57.00,%,,,41.11,%,,,30.34,%,,,19.44,%
June 2028,,,78.89,%,,,53.06,%,,,37.16,%,,,26.40,%,,,15.50,%
July 2028,,,74.98,%,,,49.18,%,,,33.32,%,,,22.57,%,,,11.69,%
August 2028,,,71.08,%,,,45.37,%,,,29.56,%,,,18.85,%,,,8.01,%
September 2028,,,67.19,%,,,41.63,%,,,25.91,%,,,15.26,%,,,4.47,%
October 2028,,,63.33,%,,,37.95,%,,,22.35,%,,,11.78,%,,,1.07,%
November 2028,,,59.48,%,,,34.34,%,,,18.88,%,,,8.41,%,,,0.00,%
December 2028,,,55.65,%,,,30.80,%,,,15.52,%,,,5.17,%,,,0.00,%
January 2029,,,51.84,%,,,27.33,%,,,12.25,%,,,2.05,%,,,0.00,%
February 2029,,,48.05,%,,,23.92,%,,,9.09,%,,,0.00,%,,,0.00,%
March 2029,,,44.27,%,,,20.59,%,,,6.02,%,,,0.00,%,,,0.00,%
April 2029,,,40.51,%,,,17.32,%,,,3.06,%,,,0.00,%,,,0.00,%
May 2029,,,36.92,%,,,14.23,%,,,0.27,%,,,0.00,%,,,0.00,%
June 2029,,,33.43,%,,,11.26,%,,,0.00,%,,,0.00,%,,,0.00,%
July 2029,,,29.96,%,,,8.35,%,,,0.00,%,,,0.00,%,,,0.00,%
August 2029,,,26.50,%,,,5.52,%,,,0.00,%,,,0.00,%,,,0.00,%
September 2029,,,23.07,%,,,2.75,%,,,0.00,%,,,0.00,%,,,0.00,%
October 2029,,,19.65,%,,,0.05,%,,,0.00,%,,,0.00,%,,,0.00,%
November 2029,,,16.25,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
December 2029,,,12.86,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
January 2030,,,9.50,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
February 2030,,,6.15,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
March 2030,,,2.83,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
April 2030,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted Average Life to Optional Purchase (years)(1),,,3.53,,,,3.00,,,,2.68,,,,2.48,,,,2.29,
Weighted Average Life to Maturity (years)(1),,,3.53,,,,3.00,,,,2.68,,,,2.48,,,,2.29,
