0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,WOART 2025-A,WOART 2025-A,WOART 2025-A,WOART 2025-A,WOART 2025-A,WOART 2025-A,,,WOART 2025-B,WOART 2025-B,WOART 2025-B,WOART 2025-B,WOART 2025-B,WOART 2025-B,
,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,
Florida,,,606535578.27,,,,46.5,%,,,611016940.11,,,,47.7,%
Georgia,,,244074697.30,,,,18.7,%,,,239766533.03,,,,18.7,%
North Carolina,,,203128940.24,,,,15.6,%,,,196999096.48,,,,15.4,%
Alabama,,,127159217.82,,,,9.7,%,,,113201589.74,,,,8.8,%
South Carolina,,,92235171.66,,,,7.1,%,,,92120377.00,,,,7.2,%
All Others,,,32539495.00,,,,2.5,%,,,28722723.07,,,,2.2,%
Total,,,1305673100.29,,,,100.0,%,,,1281827259.43,,,,100.0,%
