0,1,2,3,4,5,6,7,8
,,Yield Supplement Overcollateralization Amount ($),Yield Supplement Overcollateralization Amount ($),Yield Supplement Overcollateralization Amount ($),Yield Supplement Overcollateralization Amount ($),Yield Supplement Overcollateralization Amount ($),Yield Supplement Overcollateralization Amount ($),
Payment Date,,8.10%  Required Rate,8.10%  Required Rate,,,7.85%  Required Rate,7.85%  Required Rate,
June 2029,,$,11244157.90,,,$,10246480.06,
July 2029,,$,10464666.78,,,$,9534675.69,
August 2029,,$,9714986.32,,,$,8850241.14,
September 2029,,$,8995157.98,,,$,8193204.05,
October 2029,,$,8305451.42,,,$,7563804.05,
November 2029,,$,7645983.38,,,$,6962143.17,
December 2029,,$,7016599.05,,,$,6388066.92,
January 2030,,$,6416456.61,,,$,5840772.89,
February 2030,,$,5844450.46,,,$,5319209.53,
March 2030,,$,5300618.82,,,$,4823398.87,
April 2030,,$,4785211.55,,,$,4353562.15,
May 2030,,$,4298526.97,,,$,3909964.25,
June 2030,,$,3840846.37,,,$,3492854.67,
July 2030,,$,3412313.22,,,$,3102358.69,
August 2030,,$,3012333.71,,,$,2737947.33,
September 2030,,$,2640533.50,,,$,2399286.01,
October 2030,,$,2296875.67,,,$,2086341.69,
November 2030,,$,1981294.54,,,$,1799055.75,
December 2030,,$,1693269.18,,,$,1536946.05,
January 2031,,$,1430862.71,,,$,1298218.56,
February 2031,,$,1191991.28,,,$,1080941.68,
March 2031,,$,976178.50,,,$,884677.08,
April 2031,,$,782672.24,,,$,708753.26,
May 2031,,$,610693.56,,,$,552469.09,
June 2031,,$,460240.59,,,$,415820.86,
July 2031,,$,331483.50,,,$,298960.37,
August 2031,,$,224614.97,,,$,202059.10,
September 2031,,$,139826.58,,,$,125287.17,
October 2031,,$,77184.10,,,$,68697.11,
November 2031,,$,36096.34,,,$,31737.91,
December 2031,,$,14474.39,,,$,12483.04,
January 2032,,$,5882.31,,,$,5028.03,
February 2032,,$,1835.05,,,$,1571.44,
March 2032,,$,205.37,,,$,175.80,
April 2032 and thereafter,,$,0.00,,,$,0.00,
