0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,WOART 2021-D,WOART 2021-D,WOART 2021-D,WOART 2021-D,WOART 2021-D,WOART 2021-D,,,WOART 2022-A,WOART 2022-A,WOART 2022-A,WOART 2022-A,WOART 2022-A,WOART 2022-A,,,WOART 2022-B,WOART 2022-B,WOART 2022-B,WOART 2022-B,WOART 2022-B,WOART 2022-B,
,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,
Florida,,,585417712.29,,,,49.4,%,,,460536300.32,,,,47.8,%,,,522072382.33,,,,48.2,%
Georgia,,,211484635.08,,,,17.9,%,,,183312277.56,,,,19.0,%,,,198057049.60,,,,18.3,%
North Carolina,,,176337371.99,,,,14.9,%,,,145858794.15,,,,15.1,%,,,167654160.68,,,,15.5,%
Alabama,,,105491323.80,,,,8.9,%,,,89418303.24,,,,9.3,%,,,98352536.54,,,,9.1,%
South Carolina,,,79356536.41,,,,6.7,%,,,62055764.99,,,,6.4,%,,,68030470.99,,,,6.3,%
All Others,,,25909000.40,,,,2.2,%,,,23029263.27,,,,2.4,%,,,29803317.52,,,,2.7,%
Total,,,1183996579.97,,,,100.0,%,,,964210703.53,,,,100.0,%,,,1083969917.66,,,,100.0,%
,,,,,,,,,,,,,,,,,,,,,,,,
,,WOART 2022-C,WOART 2022-C,WOART 2022-C,WOART 2022-C,WOART 2022-C,WOART 2022-C,,,WOART 2022-D,WOART 2022-D,WOART 2022-D,WOART 2022-D,WOART 2022-D,WOART 2022-D,,,WOART 2023-A,WOART 2023-A,WOART 2023-A,WOART 2023-A,WOART 2023-A,WOART 2023-A,
,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,
Florida,,,536027706.83,,,,47.7,%,,,401872700.56,,,,34.7,%,,,511596231.30,,,,45.8,%
