0,1,2,3,4
,,,,
,,Page,Page,
Summary of Series Terms,,,1,
Risk Factors,,,18,
The Issuing Entity,,,43,
The Trust Portfolio,,,44,
General,,,44,
Static Pool Information,,,44,
Pool Asset Review,,,44,
Repurchases and Replacements,,,46,
The Accounts,,,46,
Transaction Parties,,,47,
Account Owner and Sponsor,,,47,
Depositor and Transferor,,,48,
U.S. Credit Risk Retention,,,48,
Servicer,,,49,
Bank Holding Company Status,,,50,
The Trustee,,,50,
AENB’s Revolving Credit Businesses,,,50,
General,,,50,
Underwriting and Authorization Process,,,51,
Billing and Payments,,,53,
Collection Efforts,,,54,
Issuer Rate Fees,,,54,
Use of Proceeds,,,56,
Maturity Considerations,,,56,
Series Provisions,,,58,
Interest Payments,,,58,
Principal Payments,,,60,
Credit Enhancement,,,61,
Allocation Percentages,,,62,
Principal Funding Account,,,63,
Reserve Account,,,63,
Reallocation of Cash Flows,,,64,
Application of Collections,,,66,
Defaulted Receivables; Investor Charge-Offs,,,69,
Paired Series,,,70,
Additional Issuances of Series 2024-2 Certificates,,,70,
Pay-Out Events,,,71,
Servicing Compensation and Payment of Expenses,,,72,
Optional Repurchase,,,73,
Series Termination,,,73,
Reports,,,74,
Description of the Certificates,,,74,
General,,,74,
Book-Entry Registration,,,75,
Definitive Certificates,,,78,
The Pooling and Servicing Agreement Generally,,,79,
Conveyance of Receivables,,,79,
Representations and Warranties,,,79,
Resolution of Repurchase Disputes,,,81,
The Transferor Certificates; Additional Transferors,,,82,
Additions of Accounts,,,83,
Removal of Accounts,,,84,
