0,1,2
,,
,,Page
,,
Summary of Series Terms,,1
Risk Factors,,18
The Issuing Entity,,42
The Trust Portfolio,,43
General,,43
Static Pool Information,,43
Pool Asset Review,,43
Repurchases and Replacements,,45
The Accounts,,45
Transaction Parties,,46
Account Owner and Sponsor,,46
Depositor and Transferor,,47
U.S. Credit Risk Retention,,47
Servicer,,48
Bank Holding Company Status,,49
The Trustee,,49
AENB’s Revolving Credit Businesses,,49
General,,49
Underwriting and Authorization Process,,50
Billing and Payments,,52
Collection Efforts,,53
Issuer Rate Fees,,53
Use of Proceeds,,55
Maturity Considerations,,55
Series Provisions,,57
Interest Payments,,57
Principal Payments,,59
Credit Enhancement,,60
Allocation Percentages,,61
Principal Funding Account,,62
Reserve Account,,62
Reallocation of Cash Flows,,63
Application of Collections,,65
Defaulted Receivables; Investor Charge-Offs,,68
Paired Series,,69
Additional Issuances of Series 2025-3 Certificates,,69
Pay-Out Events,,70
Servicing Compensation and Payment of Expenses,,71
Optional Repurchase,,72
Series Termination,,72
Reports,,73
Description of the Certificates,,73
General,,73
Book-Entry Registration,,74
Definitive Certificates,,77
The Pooling and Servicing Agreement Generally,,78
Conveyance of Receivables,,78
Representations and Warranties,,78
Resolution of Repurchase Disputes,,80
The Transferor Certificates; Additional Transferors,,82
Additions of Accounts,,82
Removal of Accounts,,83
